il,bolge,year,scenario,scenario_label,tarim_skoru,skor_ust,skor_alt,yagis_proj,ndvi_proj,hassasiyet
Bolu,Karadeniz,2030,kotumser_ssp585,Kötümser (SSP5-8.5),6.2051,6.8132,5.597,851.8,0.5439,0.7
Bolu,Karadeniz,2031,kotumser_ssp585,Kötümser (SSP5-8.5),6.1722,6.8265,5.518,840.8,0.5399,0.7
Bolu,Karadeniz,2032,kotumser_ssp585,Kötümser (SSP5-8.5),6.1377,6.8374,5.438,829.8,0.5359,0.7
Bolu,Karadeniz,2033,kotumser_ssp585,Kötümser (SSP5-8.5),6.1033,6.8479,5.3587,818.8,0.5319,0.7
Bolu,Karadeniz,2034,kotumser_ssp585,Kötümser (SSP5-8.5),6.0689,6.8578,5.2799,807.8,0.5279,0.7
Bolu,Karadeniz,2035,kotumser_ssp585,Kötümser (SSP5-8.5),6.0345,6.8673,5.2018,796.8,0.5239,0.7
Bolu,Karadeniz,2036,kotumser_ssp585,Kötümser (SSP5-8.5),6.0003,6.8763,5.1242,785.7,0.5199,0.7
Bolu,Karadeniz,2037,kotumser_ssp585,Kötümser (SSP5-8.5),5.5275,6.3788,4.6763,774.7,0.5159,0.7
Bolu,Karadeniz,2038,kotumser_ssp585,Kötümser (SSP5-8.5),5.4665,6.352,4.5809,763.7,0.5119,0.7
Bolu,Karadeniz,2039,kotumser_ssp585,Kötümser (SSP5-8.5),5.4055,6.3244,4.4866,752.7,0.5079,0.7
Bolu,Karadeniz,2040,kotumser_ssp585,Kötümser (SSP5-8.5),5.3447,6.296,4.3933,741.7,0.5039,0.7
Bolu,Karadeniz,2041,kotumser_ssp585,Kötümser (SSP5-8.5),5.284,6.2668,4.3012,730.7,0.4999,0.7
Bolu,Karadeniz,2042,kotumser_ssp585,Kötümser (SSP5-8.5),5.2234,6.2367,4.2101,719.6,0.4959,0.7
Bolu,Karadeniz,2043,kotumser_ssp585,Kötümser (SSP5-8.5),5.163,6.2059,4.12,708.6,0.4919,0.7
Bolu,Karadeniz,2044,kotumser_ssp585,Kötümser (SSP5-8.5),5.1026,6.1742,4.0311,697.6,0.4879,0.7
Bolu,Karadeniz,2045,kotumser_ssp585,Kötümser (SSP5-8.5),5.0424,6.1417,3.9432,686.6,0.4839,0.7
Bolu,Karadeniz,2046,kotumser_ssp585,Kötümser (SSP5-8.5),4.9823,6.1083,3.8563,675.6,0.4799,0.7
Bolu,Karadeniz,2047,kotumser_ssp585,Kötümser (SSP5-8.5),4.9224,6.0742,3.7705,664.6,0.4759,0.7
Bolu,Karadeniz,2048,kotumser_ssp585,Kötümser (SSP5-8.5),4.8625,6.0393,3.6858,653.6,0.4719,0.7
Bolu,Karadeniz,2049,kotumser_ssp585,Kötümser (SSP5-8.5),4.8028,6.0035,3.6021,642.5,0.4679,0.7
Bolu,Karadeniz,2050,kotumser_ssp585,Kötümser (SSP5-8.5),4.7433,5.967,3.5195,631.5,0.4639,0.7
Karabük,Karadeniz,2025,optimist_ssp126,İyimser (SSP1-2.6),6.3938,6.7647,6.023,695.4,0.6055,0.7
Karabük,Karadeniz,2026,optimist_ssp126,İyimser (SSP1-2.6),6.3938,6.8158,5.9718,693.3,0.6045,0.7
Karabük,Karadeniz,2027,optimist_ssp126,İyimser (SSP1-2.6),6.3938,6.867,5.9207,691.2,0.6035,0.7
Karabük,Karadeniz,2028,optimist_ssp126,İyimser (SSP1-2.6),6.3938,6.9181,5.8695,689.1,0.6025,0.7
Karabük,Karadeniz,2029,optimist_ssp126,İyimser (SSP1-2.6),6.3938,6.9693,5.8184,687.1,0.6015,0.7
Karabük,Karadeniz,2030,optimist_ssp126,İyimser (SSP1-2.6),6.3938,7.0204,5.7672,685.0,0.6005,0.7
Karabük,Karadeniz,2031,optimist_ssp126,İyimser (SSP1-2.6),6.3938,7.0716,5.7161,682.9,0.5995,0.7
Karabük,Karadeniz,2032,optimist_ssp126,İyimser (SSP1-2.6),6.3938,7.1227,5.6649,680.8,0.5985,0.7
Karabük,Karadeniz,2033,optimist_ssp126,İyimser (SSP1-2.6),6.3938,7.1739,5.6138,678.7,0.5975,0.7
Karabük,Karadeniz,2034,optimist_ssp126,İyimser (SSP1-2.6),6.3938,7.225,5.5626,676.6,0.5965,0.7
Karabük,Karadeniz,2035,optimist_ssp126,İyimser (SSP1-2.6),6.3938,7.2762,5.5115,674.5,0.5955,0.7
Karabük,Karadeniz,2036,optimist_ssp126,İyimser (SSP1-2.6),6.3938,7.3273,5.4603,672.4,0.5945,0.7
Karabük,Karadeniz,2037,optimist_ssp126,İyimser (SSP1-2.6),6.3938,7.3785,5.4092,670.3,0.5935,0.7
Karabük,Karadeniz,2038,optimist_ssp126,İyimser (SSP1-2.6),6.3938,7.4296,5.358,668.2,0.5925,0.7
Karabük,Karadeniz,2039,optimist_ssp126,İyimser (SSP1-2.6),6.3938,7.4808,5.3069,666.1,0.5915,0.7
Karabük,Karadeniz,2040,optimist_ssp126,İyimser (SSP1-2.6),6.3938,7.5319,5.2557,664.0,0.5905,0.7
Karabük,Karadeniz,2041,optimist_ssp126,İyimser (SSP1-2.6),6.0719,7.2013,4.9425,661.9,0.5895,0.7
Karabük,Karadeniz,2042,optimist_ssp126,İyimser (SSP1-2.6),6.0652,7.2418,4.8885,659.9,0.5885,0.7
Karabük,Karadeniz,2043,optimist_ssp126,İyimser (SSP1-2.6),6.0585,7.2823,4.8347,657.8,0.5875,0.7
Karabük,Karadeniz,2044,optimist_ssp126,İyimser (SSP1-2.6),6.0518,7.3226,4.7809,655.7,0.5865,0.7
Karabük,Karadeniz,2045,optimist_ssp126,İyimser (SSP1-2.6),6.0429,7.3603,4.7256,653.6,0.5855,0.7
Karabük,Karadeniz,2046,optimist_ssp126,İyimser (SSP1-2.6),6.0341,7.3978,4.6704,651.5,0.5845,0.7
Karabük,Karadeniz,2047,optimist_ssp126,İyimser (SSP1-2.6),6.0253,7.4352,4.6154,649.4,0.5835,0.7
Karabük,Karadeniz,2048,optimist_ssp126,İyimser (SSP1-2.6),6.0165,7.4725,4.5605,647.3,0.5825,0.7
Karabük,Karadeniz,2049,optimist_ssp126,İyimser (SSP1-2.6),6.0077,7.5096,4.5058,645.2,0.5815,0.7
Karabük,Karadeniz,2050,optimist_ssp126,İyimser (SSP1-2.6),5.9989,7.5466,4.4512,643.1,0.5805,0.7
Karabük,Karadeniz,2025,orta_ssp245,Orta (SSP2-4.5),6.3938,6.7647,6.023,693.3,0.6045,0.7
Karabük,Karadeniz,2026,orta_ssp245,Orta (SSP2-4.5),6.3938,6.8158,5.9718,689.1,0.6025,0.7
Karabük,Karadeniz,2027,orta_ssp245,Orta (SSP2-4.5),6.3938,6.867,5.9207,685.0,0.6005,0.7
Karabük,Karadeniz,2028,orta_ssp245,Orta (SSP2-4.5),6.3938,6.9181,5.8695,680.8,0.5985,0.7
Karabük,Karadeniz,2029,orta_ssp245,Orta (SSP2-4.5),6.3938,6.9693,5.8184,676.6,0.5965,0.7
Karabük,Karadeniz,2030,orta_ssp245,Orta (SSP2-4.5),6.3938,7.0204,5.7672,672.4,0.5945,0.7
Karabük,Karadeniz,2031,orta_ssp245,Orta (SSP2-4.5),6.3938,7.0716,5.7161,668.2,0.5925,0.7
Karabük,Karadeniz,2032,orta_ssp245,Orta (SSP2-4.5),6.3938,7.1227,5.6649,664.0,0.5905,0.7
Karabük,Karadeniz,2033,orta_ssp245,Orta (SSP2-4.5),6.0652,6.8051,5.3252,659.9,0.5885,0.7
Karabük,Karadeniz,2034,orta_ssp245,Orta (SSP2-4.5),6.0518,6.8385,5.265,655.7,0.5865,0.7
Karabük,Karadeniz,2035,orta_ssp245,Orta (SSP2-4.5),6.0383,6.8716,5.2051,651.5,0.5845,0.7
Karabük,Karadeniz,2036,orta_ssp245,Orta (SSP2-4.5),6.0215,6.9007,5.1424,647.3,0.5825,0.7
Karabük,Karadeniz,2037,orta_ssp245,Orta (SSP2-4.5),6.0043,6.929,5.0797,643.1,0.5805,0.7
Karabük,Karadeniz,2038,orta_ssp245,Orta (SSP2-4.5),5.9871,6.9571,5.0172,638.9,0.5785,0.7
Karabük,Karadeniz,2039,orta_ssp245,Orta (SSP2-4.5),5.97,6.9849,4.9551,634.7,0.5765,0.7
Karabük,Karadeniz,2040,orta_ssp245,Orta (SSP2-4.5),5.9528,7.0124,4.8932,630.6,0.5745,0.7
Karabük,Karadeniz,2041,orta_ssp245,Orta (SSP2-4.5),5.9357,7.0397,4.8316,626.4,0.5725,0.7
Karabük,Karadeniz,2042,orta_ssp245,Orta (SSP2-4.5),5.9186,7.0668,4.7704,622.2,0.5705,0.7
Karabük,Karadeniz,2043,orta_ssp245,Orta (SSP2-4.5),5.9014,7.0935,4.7094,618.0,0.5685,0.7
Karabük,Karadeniz,2044,orta_ssp245,Orta (SSP2-4.5),5.8844,7.1201,4.6486,613.8,0.5665,0.7
Karabük,Karadeniz,2045,orta_ssp245,Orta (SSP2-4.5),5.8673,7.1464,4.5882,609.6,0.5645,0.7
Karabük,Karadeniz,2046,orta_ssp245,Orta (SSP2-4.5),5.8502,7.1724,4.5281,605.4,0.5625,0.7
Karabük,Karadeniz,2047,orta_ssp245,Orta (SSP2-4.5),5.8332,7.1982,4.4682,601.3,0.5605,0.7
Karabük,Karadeniz,2048,orta_ssp245,Orta (SSP2-4.5),5.8162,7.2237,4.4087,597.1,0.5585,0.7
Karabük,Karadeniz,2049,orta_ssp245,Orta (SSP2-4.5),5.7992,7.249,4.3494,592.9,0.5565,0.7
Karabük,Karadeniz,2050,orta_ssp245,Orta (SSP2-4.5),5.3572,6.7393,3.975,588.7,0.5545,0.7
Karabük,Karadeniz,2025,kotumser_ssp585,Kötümser (SSP5-8.5),6.3938,6.7647,6.023,689.1,0.6025,0.7
Karabük,Karadeniz,2026,kotumser_ssp585,Kötümser (SSP5-8.5),6.3938,6.8158,5.9718,680.8,0.5985,0.7
Karabük,Karadeniz,2027,kotumser_ssp585,Kötümser (SSP5-8.5),6.3938,6.867,5.9207,672.4,0.5945,0.7
Karabük,Karadeniz,2028,kotumser_ssp585,Kötümser (SSP5-8.5),6.3938,6.9181,5.8695,664.0,0.5905,0.7
Karabük,Karadeniz,2029,kotumser_ssp585,Kötümser (SSP5-8.5),6.0518,6.5964,5.5071,655.7,0.5865,0.7
Karabük,Karadeniz,2030,kotumser_ssp585,Kötümser (SSP5-8.5),6.0249,6.6154,5.4345,647.3,0.5825,0.7
Karabük,Karadeniz,2031,kotumser_ssp585,Kötümser (SSP5-8.5),5.993,6.6283,5.3578,638.9,0.5785,0.7
Karabük,Karadeniz,2032,kotumser_ssp585,Kötümser (SSP5-8.5),5.9595,6.6389,5.2801,630.6,0.5745,0.7
Karabük,Karadeniz,2033,kotumser_ssp585,Kötümser (SSP5-8.5),5.926,6.649,5.2031,622.2,0.5705,0.7
Karabük,Karadeniz,2034,kotumser_ssp585,Kötümser (SSP5-8.5),5.8926,6.6587,5.1266,613.8,0.5665,0.7
Karabük,Karadeniz,2035,kotumser_ssp585,Kötümser (SSP5-8.5),5.8593,6.6679,5.0507,605.4,0.5625,0.7
Karabük,Karadeniz,2036,kotumser_ssp585,Kötümser (SSP5-8.5),5.826,6.6766,4.9754,597.1,0.5585,0.7
Karabük,Karadeniz,2037,kotumser_ssp585,Kötümser (SSP5-8.5),5.367,6.1935,4.5405,588.7,0.5545,0.7
Karabük,Karadeniz,2038,kotumser_ssp585,Kötümser (SSP5-8.5),5.3077,6.1676,4.4479,580.3,0.5505,0.7
Karabük,Karadeniz,2039,kotumser_ssp585,Kötümser (SSP5-8.5),5.2485,6.1408,4.3563,572.0,0.5465,0.7
Karabük,Karadeniz,2040,kotumser_ssp585,Kötümser (SSP5-8.5),5.1895,6.1132,4.2658,563.6,0.5425,0.7
Karabük,Karadeniz,2041,kotumser_ssp585,Kötümser (SSP5-8.5),5.1306,6.0848,4.1763,555.2,0.5385,0.7
Karabük,Karadeniz,2042,kotumser_ssp585,Kötümser (SSP5-8.5),5.0717,6.0556,4.0878,546.9,0.5345,0.7
Karabük,Karadeniz,2043,kotumser_ssp585,Kötümser (SSP5-8.5),5.013,6.0257,4.0004,538.5,0.5305,0.7
Karabük,Karadeniz,2044,kotumser_ssp585,Kötümser (SSP5-8.5),4.9545,5.9949,3.914,530.1,0.5265,0.7
Karabük,Karadeniz,2045,kotumser_ssp585,Kötümser (SSP5-8.5),4.896,5.9633,3.8287,521.7,0.5225,0.7
Karabük,Karadeniz,2046,kotumser_ssp585,Kötümser (SSP5-8.5),4.8377,5.931,3.7444,513.4,0.5185,0.7
Karabük,Karadeniz,2047,kotumser_ssp585,Kötümser (SSP5-8.5),4.7794,5.8978,3.6611,505.0,0.5145,0.7
Karabük,Karadeniz,2048,kotumser_ssp585,Kötümser (SSP5-8.5),4.7214,5.8639,3.5788,496.6,0.5105,0.7
Karabük,Karadeniz,2049,kotumser_ssp585,Kötümser (SSP5-8.5),4.6634,5.8292,3.4975,488.3,0.5065,0.7
Karabük,Karadeniz,2050,kotumser_ssp585,Kötümser (SSP5-8.5),4.6055,5.7937,3.4173,479.9,0.5025,0.7
Sakarya,Marmara,2025,optimist_ssp126,İyimser (SSP1-2.6),6.0915,6.4448,5.7382,1191.6,0.5388,0.8
Sakarya,Marmara,2026,optimist_ssp126,İyimser (SSP1-2.6),6.0915,6.4935,5.6894,1188.0,0.5378,0.8
Sakarya,Marmara,2027,optimist_ssp126,İyimser (SSP1-2.6),6.0915,6.5422,5.6407,1184.4,0.5368,0.8
Sakarya,Marmara,2028,optimist_ssp126,İyimser (SSP1-2.6),6.0915,6.591,5.592,1180.9,0.5358,0.8
Sakarya,Marmara,2029,optimist_ssp126,İyimser (SSP1-2.6),6.0915,6.6397,5.5432,1177.3,0.5348,0.8
Sakarya,Marmara,2030,optimist_ssp126,İyimser (SSP1-2.6),6.0915,6.6884,5.4945,1173.7,0.5338,0.8
Sakarya,Marmara,2031,optimist_ssp126,İyimser (SSP1-2.6),6.0915,6.7372,5.4458,1170.1,0.5328,0.8
Sakarya,Marmara,2032,optimist_ssp126,İyimser (SSP1-2.6),6.0915,6.7859,5.397,1166.5,0.5318,0.8
Sakarya,Marmara,2033,optimist_ssp126,İyimser (SSP1-2.6),6.0915,6.8346,5.3483,1162.9,0.5308,0.8
Sakarya,Marmara,2034,optimist_ssp126,İyimser (SSP1-2.6),6.0915,6.8834,5.2996,1159.3,0.5298,0.8
Sakarya,Marmara,2035,optimist_ssp126,İyimser (SSP1-2.6),6.0915,6.9321,5.2509,1155.8,0.5288,0.8
Sakarya,Marmara,2036,optimist_ssp126,İyimser (SSP1-2.6),6.0915,6.9808,5.2021,1152.2,0.5278,0.8
Sakarya,Marmara,2037,optimist_ssp126,İyimser (SSP1-2.6),6.0915,7.0296,5.1534,1148.6,0.5268,0.8
Sakarya,Marmara,2038,optimist_ssp126,İyimser (SSP1-2.6),6.0915,7.0783,5.1047,1145.0,0.5258,0.8
Sakarya,Marmara,2039,optimist_ssp126,İyimser (SSP1-2.6),6.0915,7.127,5.0559,1141.4,0.5248,0.8
Sakarya,Marmara,2040,optimist_ssp126,İyimser (SSP1-2.6),6.0915,7.1758,5.0072,1137.8,0.5238,0.8
Sakarya,Marmara,2041,optimist_ssp126,İyimser (SSP1-2.6),5.7845,6.8604,4.7086,1134.2,0.5228,0.8
Sakarya,Marmara,2042,optimist_ssp126,İyimser (SSP1-2.6),5.7772,6.8979,4.6564,1130.7,0.5218,0.8
Sakarya,Marmara,2043,optimist_ssp126,İyimser (SSP1-2.6),5.7698,6.9354,4.6043,1127.1,0.5208,0.8
Sakarya,Marmara,2044,optimist_ssp126,İyimser (SSP1-2.6),5.7625,6.9727,4.5524,1123.5,0.5198,0.8
Sakarya,Marmara,2045,optimist_ssp126,İyimser (SSP1-2.6),5.7529,7.0071,4.4988,1119.9,0.5188,0.8
Sakarya,Marmara,2046,optimist_ssp126,İyimser (SSP1-2.6),5.7433,7.0413,4.4453,1116.3,0.5178,0.8
Sakarya,Marmara,2047,optimist_ssp126,İyimser (SSP1-2.6),5.7337,7.0754,4.392,1112.7,0.5168,0.8
Sakarya,Marmara,2048,optimist_ssp126,İyimser (SSP1-2.6),5.7241,7.1094,4.3389,1109.1,0.5158,0.8
Sakarya,Marmara,2049,optimist_ssp126,İyimser (SSP1-2.6),5.7145,7.1432,4.2859,1105.6,0.5148,0.8
Sakarya,Marmara,2050,optimist_ssp126,İyimser (SSP1-2.6),5.705,7.1768,4.2331,1102.0,0.5138,0.8
Sakarya,Marmara,2025,orta_ssp245,Orta (SSP2-4.5),6.0915,6.4448,5.7382,1188.0,0.5378,0.8
Sakarya,Marmara,2026,orta_ssp245,Orta (SSP2-4.5),6.0915,6.4935,5.6894,1180.9,0.5358,0.8
Sakarya,Marmara,2027,orta_ssp245,Orta (SSP2-4.5),6.0915,6.5422,5.6407,1173.7,0.5338,0.8
Sakarya,Marmara,2028,orta_ssp245,Orta (SSP2-4.5),6.0915,6.591,5.592,1166.5,0.5318,0.8
Sakarya,Marmara,2029,orta_ssp245,Orta (SSP2-4.5),6.0915,6.6397,5.5432,1159.3,0.5298,0.8
Sakarya,Marmara,2030,orta_ssp245,Orta (SSP2-4.5),6.0915,6.6884,5.4945,1152.2,0.5278,0.8
Sakarya,Marmara,2031,orta_ssp245,Orta (SSP2-4.5),6.0915,6.7372,5.4458,1145.0,0.5258,0.8
Sakarya,Marmara,2032,orta_ssp245,Orta (SSP2-4.5),6.0915,6.7859,5.397,1137.8,0.5238,0.8
Sakarya,Marmara,2033,orta_ssp245,Orta (SSP2-4.5),5.7772,6.482,5.0723,1130.7,0.5218,0.8
Sakarya,Marmara,2034,orta_ssp245,Orta (SSP2-4.5),5.7625,6.5117,5.0134,1123.5,0.5198,0.8
Sakarya,Marmara,2035,orta_ssp245,Orta (SSP2-4.5),5.7479,6.5411,4.9547,1116.3,0.5178,0.8
Sakarya,Marmara,2036,orta_ssp245,Orta (SSP2-4.5),5.7296,6.5662,4.8931,1109.1,0.5158,0.8
Sakarya,Marmara,2037,orta_ssp245,Orta (SSP2-4.5),5.7109,6.5904,4.8314,1102.0,0.5138,0.8
Sakarya,Marmara,2038,orta_ssp245,Orta (SSP2-4.5),5.6922,6.6143,4.7701,1094.8,0.5118,0.8
Sakarya,Marmara,2039,orta_ssp245,Orta (SSP2-4.5),5.6735,6.638,4.709,1087.6,0.5098,0.8
Sakarya,Marmara,2040,orta_ssp245,Orta (SSP2-4.5),5.6548,6.6614,4.6483,1080.5,0.5078,0.8
Sakarya,Marmara,2041,orta_ssp245,Orta (SSP2-4.5),5.6362,6.6845,4.5879,1073.3,0.5058,0.8
Sakarya,Marmara,2042,orta_ssp245,Orta (SSP2-4.5),5.6176,6.7074,4.5278,1066.1,0.5038,0.8
Sakarya,Marmara,2043,orta_ssp245,Orta (SSP2-4.5),5.599,6.73,4.468,1058.9,0.5018,0.8
Sakarya,Marmara,2044,orta_ssp245,Orta (SSP2-4.5),5.5804,6.7523,4.4085,1051.8,0.4998,0.8
Sakarya,Marmara,2045,orta_ssp245,Orta (SSP2-4.5),5.5618,6.7743,4.3494,1044.6,0.4978,0.8
Sakarya,Marmara,2046,orta_ssp245,Orta (SSP2-4.5),5.5433,6.7961,4.2905,1037.4,0.4958,0.8
Sakarya,Marmara,2047,orta_ssp245,Orta (SSP2-4.5),5.5248,6.8176,4.232,1030.3,0.4938,0.8
Sakarya,Marmara,2048,orta_ssp245,Orta (SSP2-4.5),5.5063,6.8388,4.1738,1023.1,0.4918,0.8
Sakarya,Marmara,2049,orta_ssp245,Orta (SSP2-4.5),5.4878,6.8598,4.1159,1015.9,0.4898,0.8
Sakarya,Marmara,2050,orta_ssp245,Orta (SSP2-4.5),5.0933,6.4074,3.7792,1008.7,0.4878,0.8
Sakarya,Marmara,2025,kotumser_ssp585,Kötümser (SSP5-8.5),6.0915,6.4448,5.7382,1180.9,0.5358,0.8
Sakarya,Marmara,2026,kotumser_ssp585,Kötümser (SSP5-8.5),6.0915,6.4935,5.6894,1166.5,0.5318,0.8
Sakarya,Marmara,2027,kotumser_ssp585,Kötümser (SSP5-8.5),6.0915,6.5422,5.6407,1152.2,0.5278,0.8
