il,ilce,year,month,ndvi
Adana,Aladağ,2023,12,0.5142
Adana,Aladağ,2024,1,0.3828
Adana,Aladağ,2024,2,0.4577
Adana,Aladağ,2024,3,0.421
Adana,Aladağ,2024,4,0.4529
Adana,Aladağ,2024,5,0.5195
Adana,Aladağ,2024,6,0.4698
Adana,Aladağ,2024,7,0.4283
Adana,Aladağ,2024,8,0.4417
Adana,Aladağ,2024,9,0.4518
Adana,Aladağ,2024,10,0.4866
Adana,Aladağ,2024,11,0.4509
Adana,Aladağ,2024,12,0.486
Adana,Ceyhan,2019,1,0.1643
Adana,Ceyhan,2019,2,0.2397
Adana,Ceyhan,2019,3,0.2532
Adana,Ceyhan,2019,4,
Adana,Ceyhan,2019,5,0.3535
Adana,Ceyhan,2019,6,0.5795
Adana,Ceyhan,2019,7,0.5907
Adana,Ceyhan,2019,8,0.5045
Adana,Ceyhan,2019,9,0.3751
Adana,Ceyhan,2019,10,0.2428
Adana,Ceyhan,2019,11,0.2282
Adana,Ceyhan,2019,12,0.2356
Adana,Ceyhan,2020,1,0.2382
Adana,Ceyhan,2020,2,0.234
Adana,Ceyhan,2020,3,0.2636
Adana,Ceyhan,2020,4,0.3221
Adana,Ceyhan,2020,5,0.439
Adana,Ceyhan,2020,6,0.518
Adana,Ceyhan,2020,7,0.5551
Adana,Ceyhan,2020,8,0.4217
Adana,Ceyhan,2020,9,0.2585
Adana,Ceyhan,2020,10,0.2092
Adana,Ceyhan,2020,11,0.1888
Adana,Ceyhan,2020,12,0.2308
Adana,Ceyhan,2021,1,0.237
Adana,Ceyhan,2021,2,0.2451
Adana,Ceyhan,2021,3,0.2529
Adana,Ceyhan,2021,4,0.3103
Adana,Ceyhan,2021,5,0.4697
Adana,Ceyhan,2021,6,0.4704
Adana,Ceyhan,2021,7,0.5529
Adana,Ceyhan,2021,8,0.4078
Adana,Ceyhan,2021,9,0.2965
Adana,Ceyhan,2021,10,0.2261
Adana,Ceyhan,2021,11,0.2234
Adana,Ceyhan,2021,12,0.2349
Adana,Ceyhan,2022,1,0.2688
Adana,Ceyhan,2022,2,0.2296
Adana,Ceyhan,2022,3,0.2695
Adana,Ceyhan,2022,4,0.2146
Adana,Ceyhan,2022,5,0.4465
Adana,Ceyhan,2022,6,0.5791
Adana,Ceyhan,2022,7,0.6103
Adana,Ceyhan,2022,8,0.4499
Adana,Ceyhan,2022,9,0.3242
Adana,Ceyhan,2022,10,0.2374
Adana,Ceyhan,2022,11,0.2105
Adana,Ceyhan,2022,12,0.226
Adana,Ceyhan,2023,1,0.2352
Adana,Ceyhan,2023,2,0.2493
Adana,Ceyhan,2023,3,0.2348
Adana,Ceyhan,2023,4,0.3242
Adana,Ceyhan,2023,5,0.4641
Adana,Ceyhan,2023,6,0.5767
Adana,Ceyhan,2023,7,0.5397
Adana,Ceyhan,2023,8,0.3702
Adana,Ceyhan,2023,9,0.2624
Adana,Ceyhan,2023,10,0.235
Adana,Ceyhan,2023,11,0.2296
Adana,Ceyhan,2023,12,0.2294
Adana,Ceyhan,2024,1,0.3022
Adana,Ceyhan,2024,2,0.28
Adana,Ceyhan,2024,3,0.2947
Adana,Ceyhan,2024,4,0.3336
Adana,Ceyhan,2024,5,0.595
Adana,Ceyhan,2024,6,0.535
Adana,Ceyhan,2024,7,0.4633
Adana,Ceyhan,2024,8,0.3911
Adana,Ceyhan,2024,9,0.3122
Adana,Ceyhan,2024,10,0.2348
Adana,Ceyhan,2024,11,0.2241
Adana,Ceyhan,2024,12,0.2043
Adana,Çukurova,2019,1,0.0112
Adana,Çukurova,2019,2,0.0794
Adana,Çukurova,2019,3,0.1627
Adana,Çukurova,2019,4,0.2612
Adana,Çukurova,2019,5,0.1717
Adana,Çukurova,2019,6,0.1466
Adana,Çukurova,2019,7,0.1191
Adana,Çukurova,2019,8,0.0849
Adana,Çukurova,2019,9,0.0496
Adana,Çukurova,2019,10,0.0528
Adana,Çukurova,2019,11,0.084
Adana,Çukurova,2019,12,0.0357
Adana,Çukurova,2020,1,0.0549
Adana,Çukurova,2020,2,0.1001
Adana,Çukurova,2020,3,0.1294
Adana,Çukurova,2020,4,0.1832
Adana,Çukurova,2020,5,0.192
Adana,Çukurova,2020,6,0.1557
Adana,Çukurova,2020,7,0.1096
Adana,Çukurova,2020,8,0.0742
Adana,Çukurova,2020,9,0.0825
Adana,Çukurova,2020,10,0.0732
Adana,Çukurova,2020,11,0.0706
Adana,Çukurova,2020,12,0.1028
Adana,Çukurova,2021,1,0.1007
Adana,Çukurova,2021,2,0.1426
Adana,Çukurova,2021,3,0.2039
Adana,Çukurova,2021,4,0.2098
Adana,Çukurova,2021,5,0.1209
Adana,Çukurova,2021,6,0.0907
Adana,Çukurova,2021,7,0.087
Adana,Çukurova,2021,8,0.0529
Adana,Çukurova,2021,9,0.0277
Adana,Çukurova,2021,10,0.0241
Adana,Çukurova,2021,11,0.0193
Adana,Çukurova,2021,12,0.0689
Adana,Çukurova,2022,1,0.0257
Adana,Çukurova,2022,2,0.0703
Adana,Çukurova,2022,3,0.0759
Adana,Çukurova,2022,4,0.1493
Adana,Çukurova,2022,5,0.1127
Adana,Çukurova,2022,6,0.1347
Adana,Çukurova,2022,7,0.0862
Adana,Çukurova,2022,8,0.0878
Adana,Çukurova,2022,9,0.0329
Adana,Çukurova,2022,10,0.0576
Adana,Çukurova,2022,11,0.0608
Adana,Çukurova,2022,12,0.1
Adana,Çukurova,2023,1,0.1025
Adana,Çukurova,2023,2,0.046
Adana,Çukurova,2023,3,0.1573
Adana,Çukurova,2023,4,0.1584
Adana,Çukurova,2023,5,0.1964
Adana,Çukurova,2023,6,0.135
Adana,Çukurova,2023,7,0.0964
Adana,Çukurova,2023,8,0.0837
Adana,Çukurova,2023,9,0.0521
Adana,Çukurova,2023,10,0.0605
Adana,Çukurova,2023,11,0.0193
Adana,Çukurova,2023,12,0.0117
Adana,Çukurova,2024,1,0.0855
Adana,Çukurova,2024,2,0.046
Adana,Çukurova,2024,3,0.083
Adana,Çukurova,2024,4,0.112
Adana,Çukurova,2024,5,0.1144
Adana,Çukurova,2024,6,0.1337
Adana,Çukurova,2024,7,0.0864
Adana,Çukurova,2024,8,0.0448
Adana,Çukurova,2024,9,0.033
Adana,Çukurova,2024,10,0.022
Adana,Çukurova,2024,11,0.0159
Adana,Çukurova,2024,12,0.0261
Adana,Feke,2019,1,0.2845
Adana,Feke,2019,2,0.5581
Adana,Feke,2019,3,0.4922
Adana,Feke,2019,4,0.4979
Adana,Feke,2019,5,0.4887
Adana,Feke,2019,6,0.5668
Adana,Feke,2019,7,0.5471
Adana,Feke,2019,8,0.537
Adana,Feke,2019,9,0.5476
Adana,Feke,2019,10,0.5654
Adana,Feke,2019,11,0.5975
Adana,Feke,2019,12,0.5702
Adana,Feke,2020,1,0.5432
Adana,Feke,2020,2,0.4437
Adana,Feke,2020,3,0.4764
Adana,Feke,2020,4,0.5059
Adana,Feke,2020,5,0.5872
Adana,Feke,2020,6,0.5531
Adana,Feke,2020,7,0.5306
Adana,Feke,2020,8,0.5327
Adana,Feke,2020,9,0.5109
Adana,Feke,2020,10,0.551
Adana,Feke,2020,11,0.5985
Adana,Feke,2020,12,0.5827
Adana,Feke,2021,1,0.4915
Adana,Feke,2021,2,0.5056
Adana,Feke,2021,3,0.5156
Adana,Feke,2021,4,0.5285
Adana,Feke,2021,5,0.5719
Adana,Feke,2021,6,0.5555
Adana,Feke,2021,7,0.5447
Adana,Feke,2021,8,0.5362
Adana,Feke,2021,9,0.5133
Adana,Feke,2021,10,0.5757
Adana,Feke,2021,11,0.6093
Adana,Feke,2021,12,0.3993
Adana,Feke,2022,1,0.475
Adana,Feke,2022,2,0.4398
Adana,Feke,2022,3,0.4696
Adana,Feke,2022,4,0.4902
Adana,Feke,2022,5,0.5324
Adana,Feke,2022,6,0.483
Adana,Feke,2022,7,0.5488
Adana,Feke,2022,8,0.5241
Adana,Feke,2022,9,0.5475
Adana,Feke,2022,10,0.5727
Adana,Feke,2022,11,0.5746
Adana,Feke,2022,12,0.5776
Adana,Feke,2023,1,0.6026
Adana,Feke,2023,2,0.3947
Adana,Feke,2023,3,0.5173
Adana,Feke,2023,4,0.4649
Adana,Feke,2023,5,0.5845
Adana,Feke,2023,6,0.5968
Adana,Feke,2023,7,0.5724
Adana,Feke,2023,8,0.5496
Adana,Feke,2023,9,0.5713
Adana,Feke,2023,10,0.5947
Adana,Feke,2023,11,0.5661
Adana,Feke,2023,12,0.6312
Adana,Feke,2024,1,0.3778
Adana,Feke,2024,2,0.5955
Adana,Feke,2024,3,0.5191
Adana,Feke,2024,4,0.5265
Adana,Feke,2024,5,0.6088
Adana,Feke,2024,6,0.5816
Adana,Feke,2024,7,0.5392
Adana,Feke,2024,8,0.5563
Adana,Feke,2024,9,0.5791
Adana,Feke,2024,10,0.5877
Adana,Feke,2024,11,0.57
Adana,Feke,2024,12,0.6222
Adana,İmamoğlu,2019,1,0.4008
Adana,İmamoğlu,2019,2,0.4289
Adana,İmamoğlu,2019,3,0.4531
Adana,İmamoğlu,2019,4,
Adana,İmamoğlu,2019,5,0.4414
Adana,İmamoğlu,2019,6,0.421
Adana,İmamoğlu,2019,7,0.4235
Adana,İmamoğlu,2019,8,0.3669
Adana,İmamoğlu,2019,9,0.3484
Adana,İmamoğlu,2019,10,0.2976
Adana,İmamoğlu,2019,11,0.2338
Adana,İmamoğlu,2019,12,0.2648
Adana,İmamoğlu,2020,1,0.4222
Adana,İmamoğlu,2020,2,0.5078
Adana,İmamoğlu,2020,3,0.5622
Adana,İmamoğlu,2020,4,0.5755
Adana,İmamoğlu,2020,5,0.4417
Adana,İmamoğlu,2020,6,0.3605
Adana,İmamoğlu,2020,7,0.3469
Adana,İmamoğlu,2020,8,0.3646
Adana,İmamoğlu,2020,9,0.3367
Adana,İmamoğlu,2020,10,0.3033
Adana,İmamoğlu,2020,11,0.2212
Adana,İmamoğlu,2020,12,0.2298
Adana,İmamoğlu,2021,1,0.338
Adana,İmamoğlu,2021,2,0.4373
Adana,İmamoğlu,2021,3,0.5291
Adana,İmamoğlu,2021,4,0.6008
Adana,İmamoğlu,2021,5,0.4745
Adana,İmamoğlu,2021,6,0.3335
Adana,İmamoğlu,2021,7,0.3375
Adana,İmamoğlu,2021,8,0.3728
Adana,İmamoğlu,2021,9,0.3513
Adana,İmamoğlu,2021,10,0.2936
Adana,İmamoğlu,2021,11,0.2478
Adana,İmamoğlu,2021,12,0.2995
Adana,İmamoğlu,2022,1,0.3777
Adana,İmamoğlu,2022,2,0.3999
Adana,İmamoğlu,2022,3,0.4389
Adana,İmamoğlu,2022,4,0.3954
Adana,İmamoğlu,2022,5,0.4784
Adana,İmamoğlu,2022,6,0.4853
Adana,İmamoğlu,2022,7,0.4539
Adana,İmamoğlu,2022,8,0.3845
Adana,İmamoğlu,2022,9,0.3463
Adana,İmamoğlu,2022,10,0.2979
Adana,İmamoğlu,2022,11,0.2349
Adana,İmamoğlu,2022,12,0.304
Adana,İmamoğlu,2023,1,0.3838
Adana,İmamoğlu,2023,2,0.3956
Adana,İmamoğlu,2023,3,0.3604
Adana,İmamoğlu,2023,4,0.4606
Adana,İmamoğlu,2023,5,0.567
Adana,İmamoğlu,2023,6,0.4826
Adana,İmamoğlu,2023,7,0.3977
Adana,İmamoğlu,2023,8,0.3353
Adana,İmamoğlu,2023,9,0.3167
Adana,İmamoğlu,2023,10,0.3032
Adana,İmamoğlu,2023,11,0.2642
Adana,İmamoğlu,2023,12,0.2872
Adana,İmamoğlu,2024,1,0.3691
Adana,İmamoğlu,2024,2,0.4269
Adana,İmamoğlu,2024,3,0.439
Adana,İmamoğlu,2024,4,0.4958
Adana,İmamoğlu,2024,5,0.537
Adana,İmamoğlu,2024,6,0.4425
Adana,İmamoğlu,2024,7,0.3895
Adana,İmamoğlu,2024,8,0.3489
Adana,İmamoğlu,2024,9,0.3227
Adana,İmamoğlu,2024,10,0.2652
Adana,İmamoğlu,2024,11,0.208
Adana,İmamoğlu,2024,12,0.227
Adana,Karaisalı,2019,1,0.5041
Adana,Karaisalı,2019,2,0.4987
Adana,Karaisalı,2019,3,0.5062
Adana,Karaisalı,2019,4,
Adana,Karaisalı,2019,5,0.5143
Adana,Karaisalı,2019,6,0.4531
Adana,Karaisalı,2019,7,0.4469
Adana,Karaisalı,2019,8,0.3753
Adana,Karaisalı,2019,9,0.4029
Adana,Karaisalı,2019,10,0.3759
Adana,Karaisalı,2019,11,0.3868
Adana,Karaisalı,2019,12,0.4476
Adana,Karaisalı,2020,1,0.5136
Adana,Karaisalı,2020,2,0.4038
Adana,Karaisalı,2020,3,0.5192
Adana,Karaisalı,2020,4,0.5378
Adana,Karaisalı,2020,5,0.4508
Adana,Karaisalı,2020,6,0.4754
Adana,Karaisalı,2020,7,0.3795
Adana,Karaisalı,2020,8,0.3892
Adana,Karaisalı,2020,9,0.3486
Adana,Karaisalı,2020,10,0.3597
Adana,Karaisalı,2020,11,0.3743
Adana,Karaisalı,2020,12,0.382
Adana,Karaisalı,2021,1,0.4848
Adana,Karaisalı,2021,2,0.5066
Adana,Karaisalı,2021,3,0.5438
Adana,Karaisalı,2021,4,0.5591
Adana,Karaisalı,2021,5,0.5021
Adana,Karaisalı,2021,6,0.409
Adana,Karaisalı,2021,7,0.3486
Adana,Karaisalı,2021,8,0.342
Adana,Karaisalı,2021,9,0.3163
Adana,Karaisalı,2021,10,0.3505
Adana,Karaisalı,2021,11,0.3476
Adana,Karaisalı,2021,12,0.4428
Adana,Karaisalı,2022,1,0.4719
Adana,Karaisalı,2022,2,0.4834
Adana,Karaisalı,2022,3,0.4822
Adana,Karaisalı,2022,4,0.412
Adana,Karaisalı,2022,5,0.4768
Adana,Karaisalı,2022,6,0.474
Adana,Karaisalı,2022,7,0.4228
Adana,Karaisalı,2022,8,0.3137
Adana,Karaisalı,2022,9,0.3698
Adana,Karaisalı,2022,10,0.3668
Adana,Karaisalı,2022,11,0.3672
Adana,Karaisalı,2022,12,0.4559
Adana,Karaisalı,2023,1,0.4912
Adana,Karaisalı,2023,2,0.5273
Adana,Karaisalı,2023,3,0.4875
Adana,Karaisalı,2023,4,0.5178
Adana,Karaisalı,2023,5,0.5136
Adana,Karaisalı,2023,6,0.5084
Adana,Karaisalı,2023,7,0.3931
Adana,Karaisalı,2023,8,0.3396
Adana,Karaisalı,2023,9,0.3548
Adana,Karaisalı,2023,10,0.3804
Adana,Karaisalı,2023,11,0.4039
Adana,Karaisalı,2023,12,0.4767
Adana,Karaisalı,2024,1,0.5344
Adana,Karaisalı,2024,2,0.4701
Adana,Karaisalı,2024,3,0.5451
Adana,Karaisalı,2024,4,0.5363
Adana,Karaisalı,2024,5,0.4739
Adana,Karaisalı,2024,6,0.4364
Adana,Karaisalı,2024,7,0.3554
Adana,Karaisalı,2024,8,0.3499
Adana,Karaisalı,2024,9,0.3267
Adana,Karaisalı,2024,10,0.3773
Adana,Karaisalı,2024,11,0.3792
Adana,Karaisalı,2024,12,0.415
Adana,Karataş,2019,1,-0.1128
Adana,Karataş,2019,2,-0.0869
Adana,Karataş,2019,3,-0.0354
Adana,Karataş,2019,4,0.1442
Adana,Karataş,2019,5,0.1171
Adana,Karataş,2019,6,0.0834
Adana,Karataş,2019,7,0.1271
Adana,Karataş,2019,8,0.1494
Adana,Karataş,2019,9,0.0037
Adana,Karataş,2019,10,-0.0537
Adana,Karataş,2019,11,-0.0569
Adana,Karataş,2019,12,-0.1283
Adana,Karataş,2020,1,-0.1339
Adana,Karataş,2020,2,-0.0108
Adana,Karataş,2020,3,0.0657
Adana,Karataş,2020,4,0.1316
Adana,Karataş,2020,5,0.1224
Adana,Karataş,2020,6,0.1473
Adana,Karataş,2020,7,0.1037
Adana,Karataş,2020,8,0.0703
Adana,Karataş,2020,9,0.0079
Adana,Karataş,2020,10,-0.0036
Adana,Karataş,2020,11,-0.0755
Adana,Karataş,2020,12,-0.0323
Adana,Karataş,2021,1,0.0398
Adana,Karataş,2021,2,0.0793
Adana,Karataş,2021,3,0.0476
Adana,Karataş,2021,4,0.131
Adana,Karataş,2021,5,0.1026
Adana,Karataş,2021,6,0.0554
Adana,Karataş,2021,7,0.0942
Adana,Karataş,2021,8,0.1013
Adana,Karataş,2021,9,0.0122
Adana,Karataş,2021,10,-0.072
Adana,Karataş,2021,11,-0.1872
Adana,Karataş,2021,12,-0.1265
Adana,Karataş,2022,1,-0.0593
Adana,Karataş,2022,2,-0.0095
Adana,Karataş,2022,3,-0.1051
Adana,Karataş,2022,4,0.1387
Adana,Karataş,2022,5,0.1202
Adana,Karataş,2022,6,0.0848
Adana,Karataş,2022,7,0.118
Adana,Karataş,2022,8,0.116
Adana,Karataş,2022,9,0.0226
Adana,Karataş,2022,10,-0.0169
Adana,Karataş,2022,11,-0.0177
Adana,Karataş,2022,12,0.0066
Adana,Karataş,2023,1,0.0373
Adana,Karataş,2023,2,-0.0127
Adana,Karataş,2023,3,0.0449
Adana,Karataş,2023,4,0.065
Adana,Karataş,2023,5,0.1179
Adana,Karataş,2023,6,0.1211
Adana,Karataş,2023,7,0.1248
Adana,Karataş,2023,8,0.1091
Adana,Karataş,2023,9,-0.0108
Adana,Karataş,2023,10,-0.0793
Adana,Karataş,2023,11,-0.1105
Adana,Karataş,2023,12,-0.1155
Adana,Karataş,2024,1,0.1533
Adana,Karataş,2024,2,-0.0185
Adana,Karataş,2024,3,0.0122
Adana,Karataş,2024,4,0.0727
Adana,Karataş,2024,5,-0.0528
Adana,Karataş,2024,6,0.1375
Adana,Karataş,2024,7,0.1003
Adana,Karataş,2024,8,0.0514
Adana,Karataş,2024,9,-0.1533
Adana,Karataş,2024,10,-0.0737
Adana,Karataş,2024,11,-0.1484
Adana,Karataş,2024,12,-0.0942
Adana,Kozan,2019,1,0.5123
Adana,Kozan,2019,2,0.4785
Adana,Kozan,2019,3,0.4908
Adana,Kozan,2019,4,
Adana,Kozan,2019,5,0.4685
Adana,Kozan,2019,6,0.3699
Adana,Kozan,2019,7,0.3716
Adana,Kozan,2019,8,0.4176
Adana,Kozan,2019,9,0.4281
Adana,Kozan,2019,10,0.4454
Adana,Kozan,2019,11,0.4639
Adana,Kozan,2019,12,0.4709
Adana,Kozan,2020,1,0.4807
Adana,Kozan,2020,2,0.4416
Adana,Kozan,2020,3,0.4594
Adana,Kozan,2020,4,0.4951
Adana,Kozan,2020,5,0.4605
Adana,Kozan,2020,6,0.4232
Adana,Kozan,2020,7,0.4124
Adana,Kozan,2020,8,0.3949
Adana,Kozan,2020,9,0.3717
Adana,Kozan,2020,10,0.4025
Adana,Kozan,2020,11,0.4444
Adana,Kozan,2020,12,0.4697
Adana,Kozan,2021,1,0.474
Adana,Kozan,2021,2,0.4605
Adana,Kozan,2021,3,0.467
Adana,Kozan,2021,4,0.4922
Adana,Kozan,2021,5,0.4509
Adana,Kozan,2021,6,0.4397
Adana,Kozan,2021,7,0.4044
Adana,Kozan,2021,8,0.4056
Adana,Kozan,2021,9,0.3978
Adana,Kozan,2021,10,0.4261
Adana,Kozan,2021,11,0.463
Adana,Kozan,2021,12,0.4972
Adana,Kozan,2022,1,0.5083
Adana,Kozan,2022,2,0.4844
Adana,Kozan,2022,3,0.5102
Adana,Kozan,2022,4,0.4347
Adana,Kozan,2022,5,0.43
Adana,Kozan,2022,6,0.4432
Adana,Kozan,2022,7,0.4412
Adana,Kozan,2022,8,0.337
Adana,Kozan,2022,9,0.4011
Adana,Kozan,2022,10,0.4144
Adana,Kozan,2022,11,0.4352
Adana,Kozan,2022,12,0.4843
Adana,Kozan,2023,1,0.4939
Adana,Kozan,2023,2,0.4879
Adana,Kozan,2023,3,0.4305
Adana,Kozan,2023,4,0.4705
Adana,Kozan,2023,5,0.5035
Adana,Kozan,2023,6,0.4566
Adana,Kozan,2023,7,0.4399
Adana,Kozan,2023,8,0.3779
Adana,Kozan,2023,9,0.401
Adana,Kozan,2023,10,0.4542
Adana,Kozan,2023,11,0.4769
Adana,Kozan,2023,12,0.4758
Adana,Kozan,2024,1,0.4041
Adana,Kozan,2024,2,0.5394
Adana,Kozan,2024,3,0.506
Adana,Kozan,2024,4,0.5182
Adana,Kozan,2024,5,0.4331
Adana,Kozan,2024,6,0.4353
Adana,Kozan,2024,7,0.3978
Adana,Kozan,2024,8,0.3653
Adana,Kozan,2024,9,0.4198
Adana,Kozan,2024,10,0.478
Adana,Kozan,2024,11,0.4583
Adana,Kozan,2024,12,0.4858
Adana,Pozantı,2019,1,0.2412
Adana,Pozantı,2019,2,0.4615
Adana,Pozantı,2019,3,0.4085
Adana,Pozantı,2019,4,
Adana,Pozantı,2019,5,0.4609
Adana,Pozantı,2019,6,0.4407
Adana,Pozantı,2019,7,0.4298
Adana,Pozantı,2019,8,0.4146
Adana,Pozantı,2019,9,0.4137
Adana,Pozantı,2019,10,0.3961
Adana,Pozantı,2019,11,0.4569
Adana,Pozantı,2019,12,0.4834
Adana,Pozantı,2020,1,0.2973
Adana,Pozantı,2020,2,
Adana,Pozantı,2020,3,0.3996
Adana,Pozantı,2020,4,0.4214
Adana,Pozantı,2020,5,0.4485
Adana,Pozantı,2020,6,0.419
Adana,Pozantı,2020,7,0.4206
Adana,Pozantı,2020,8,0.4191
Adana,Pozantı,2020,9,0.4038
Adana,Pozantı,2020,10,0.4317
Adana,Pozantı,2020,11,0.4559
Adana,Pozantı,2020,12,0.4352
Adana,Pozantı,2021,1,0.472
Adana,Pozantı,2021,2,0.4118
Adana,Pozantı,2021,3,0.4173
Adana,Pozantı,2021,4,0.4081
Adana,Pozantı,2021,5,0.4331
Adana,Pozantı,2021,6,0.4143
Adana,Pozantı,2021,7,0.3869
Adana,Pozantı,2021,8,0.4037
Adana,Pozantı,2021,9,0.356
Adana,Pozantı,2021,10,0.4214
Adana,Pozantı,2021,11,0.4818
Adana,Pozantı,2021,12,0.4496
Adana,Pozantı,2022,1,0.4436
Adana,Pozantı,2022,2,0.2759
Adana,Pozantı,2022,3,0.3482
Adana,Pozantı,2022,4,0.3798
Adana,Pozantı,2022,5,0.4248
Adana,Pozantı,2022,6,0.416
Adana,Pozantı,2022,7,0.4092
Adana,Pozantı,2022,8,0.3851
Adana,Pozantı,2022,9,0.4286
Adana,Pozantı,2022,10,0.4496
Adana,Pozantı,2022,11,0.4634
Adana,Pozantı,2022,12,0.4809
Adana,Pozantı,2023,1,0.4611
Adana,Pozantı,2023,2,0.347
Adana,Pozantı,2023,3,
Adana,Pozantı,2023,4,0.3816
Adana,Pozantı,2023,5,
Adana,Pozantı,2023,6,0.4589
Adana,Pozantı,2023,7,0.4212
Adana,Pozantı,2023,8,0.4017
Adana,Pozantı,2023,9,0.4385
Adana,Pozantı,2023,10,0.4223
Adana,Pozantı,2023,11,0.4317
Adana,Pozantı,2023,12,0.5034
Adana,Pozantı,2024,1,0.5014
Adana,Pozantı,2024,2,0.4341
Adana,Pozantı,2024,3,
Adana,Pozantı,2024,4,0.3978
Adana,Pozantı,2024,5,0.4539
Adana,Pozantı,2024,6,0.4313
Adana,Pozantı,2024,7,0.4
Adana,Pozantı,2024,8,0.4059
Adana,Pozantı,2024,9,0.4173
Adana,Pozantı,2024,10,0.4527
Adana,Pozantı,2024,11,0.4558
Adana,Pozantı,2024,12,0.4757
Adana,Saimbeyli,2019,1,0.0766
Adana,Saimbeyli,2019,2,0.2401
Adana,Saimbeyli,2019,3,0.3334
Adana,Saimbeyli,2019,4,0.3821
Adana,Saimbeyli,2019,5,0.3399
Adana,Saimbeyli,2019,6,0.4514
Adana,Saimbeyli,2019,7,0.4818
Adana,Saimbeyli,2019,8,0.473
Adana,Saimbeyli,2019,9,0.4524
Adana,Saimbeyli,2019,10,0.4685
Adana,Saimbeyli,2019,11,0.5039
Adana,Saimbeyli,2019,12,0.5267
Adana,Saimbeyli,2020,1,0.2391
Adana,Saimbeyli,2020,2,0.1459
Adana,Saimbeyli,2020,3,0.3139
Adana,Saimbeyli,2020,4,
Adana,Saimbeyli,2020,5,0.4861
Adana,Saimbeyli,2020,6,0.4358
Adana,Saimbeyli,2020,7,0.4681
Adana,Saimbeyli,2020,8,0.4534
Adana,Saimbeyli,2020,9,0.4104
Adana,Saimbeyli,2020,10,0.4425
Adana,Saimbeyli,2020,11,0.4654
Adana,Saimbeyli,2020,12,0.4628
Adana,Saimbeyli,2021,1,0.1967
Adana,Saimbeyli,2021,2,0.3252
Adana,Saimbeyli,2021,3,0.2374
Adana,Saimbeyli,2021,4,
Adana,Saimbeyli,2021,5,0.4921
Adana,Saimbeyli,2021,6,0.4774
Adana,Saimbeyli,2021,7,0.4679
Adana,Saimbeyli,2021,8,0.4645
Adana,Saimbeyli,2021,9,0.3901
Adana,Saimbeyli,2021,10,0.4467
Adana,Saimbeyli,2021,11,0.471
Adana,Saimbeyli,2021,12,0.2505
Adana,Saimbeyli,2022,1,0.2305
Adana,Saimbeyli,2022,2,0.1983
Adana,Saimbeyli,2022,3,0.1556
Adana,Saimbeyli,2022,4,0.3745
Adana,Saimbeyli,2022,5,0.4928
Adana,Saimbeyli,2022,6,0.4848
Adana,Saimbeyli,2022,7,0.4735
Adana,Saimbeyli,2022,8,0.4252
Adana,Saimbeyli,2022,9,0.4472
Adana,Saimbeyli,2022,10,0.468
Adana,Saimbeyli,2022,11,0.4589
Adana,Saimbeyli,2022,12,0.429
Adana,Saimbeyli,2023,1,0.467
