year,month,precip_mm,il,source,drought_year
2008,11,60.9,İstanbul,Open-Meteo (ERA5),False
2008,12,84.0,İstanbul,Open-Meteo (ERA5),False
2009,1,91.7,İstanbul,Open-Meteo (ERA5),False
2009,2,109.7,İstanbul,Open-Meteo (ERA5),False
2009,3,103.5,İstanbul,Open-Meteo (ERA5),False
2009,4,28.1,İstanbul,Open-Meteo (ERA5),False
2009,5,10.2,İstanbul,Open-Meteo (ERA5),False
2009,6,5.8,İstanbul,Open-Meteo (ERA5),False
2009,7,11.0,İstanbul,Open-Meteo (ERA5),False
2009,8,2.0,İstanbul,Open-Meteo (ERA5),False
2009,9,76.8,İstanbul,Open-Meteo (ERA5),False
2009,10,55.5,İstanbul,Open-Meteo (ERA5),False
2009,11,73.2,İstanbul,Open-Meteo (ERA5),False
2009,12,124.4,İstanbul,Open-Meteo (ERA5),False
2010,1,142.1,İstanbul,Open-Meteo (ERA5),False
2010,2,128.6,İstanbul,Open-Meteo (ERA5),False
2010,3,70.1,İstanbul,Open-Meteo (ERA5),False
2010,4,32.9,İstanbul,Open-Meteo (ERA5),False
2010,5,26.3,İstanbul,Open-Meteo (ERA5),False
2010,6,96.0,İstanbul,Open-Meteo (ERA5),False
2010,7,62.1,İstanbul,Open-Meteo (ERA5),False
2010,8,1.1,İstanbul,Open-Meteo (ERA5),False
2010,9,38.0,İstanbul,Open-Meteo (ERA5),False
2010,10,252.4,İstanbul,Open-Meteo (ERA5),False
2010,11,27.3,İstanbul,Open-Meteo (ERA5),False
2010,12,163.5,İstanbul,Open-Meteo (ERA5),False
2011,1,78.8,İstanbul,Open-Meteo (ERA5),False
2011,2,31.5,İstanbul,Open-Meteo (ERA5),False
2011,3,51.4,İstanbul,Open-Meteo (ERA5),False
2011,4,69.5,İstanbul,Open-Meteo (ERA5),False
2011,5,42.4,İstanbul,Open-Meteo (ERA5),False
2011,6,28.6,İstanbul,Open-Meteo (ERA5),False
2011,7,10.0,İstanbul,Open-Meteo (ERA5),False
2011,8,42.3,İstanbul,Open-Meteo (ERA5),False
2011,9,8.7,İstanbul,Open-Meteo (ERA5),False
2011,10,118.2,İstanbul,Open-Meteo (ERA5),False
2011,11,5.7,İstanbul,Open-Meteo (ERA5),False
2011,12,85.0,İstanbul,Open-Meteo (ERA5),False
2012,1,99.7,İstanbul,Open-Meteo (ERA5),False
2012,2,78.7,İstanbul,Open-Meteo (ERA5),False
2012,3,38.5,İstanbul,Open-Meteo (ERA5),False
2012,4,66.2,İstanbul,Open-Meteo (ERA5),False
2012,5,41.7,İstanbul,Open-Meteo (ERA5),False
2012,6,7.4,İstanbul,Open-Meteo (ERA5),False
2012,7,0.8,İstanbul,Open-Meteo (ERA5),False
2012,8,26.3,İstanbul,Open-Meteo (ERA5),False
2012,9,8.1,İstanbul,Open-Meteo (ERA5),False
2012,10,43.4,İstanbul,Open-Meteo (ERA5),False
2012,11,47.7,İstanbul,Open-Meteo (ERA5),False
2012,12,123.6,İstanbul,Open-Meteo (ERA5),False
2013,1,85.7,İstanbul,Open-Meteo (ERA5),False
2013,2,50.5,İstanbul,Open-Meteo (ERA5),False
2013,3,74.4,İstanbul,Open-Meteo (ERA5),False
2013,4,28.6,İstanbul,Open-Meteo (ERA5),False
2013,5,4.5,İstanbul,Open-Meteo (ERA5),False
2013,6,30.9,İstanbul,Open-Meteo (ERA5),False
2013,7,1.5,İstanbul,Open-Meteo (ERA5),False
2013,8,6.2,İstanbul,Open-Meteo (ERA5),False
2013,9,17.3,İstanbul,Open-Meteo (ERA5),False
2013,10,98.2,İstanbul,Open-Meteo (ERA5),False
2013,11,55.9,İstanbul,Open-Meteo (ERA5),False
2013,12,53.5,İstanbul,Open-Meteo (ERA5),False
2014,1,55.8,İstanbul,Open-Meteo (ERA5),False
2014,2,13.3,İstanbul,Open-Meteo (ERA5),False
2014,3,100.7,İstanbul,Open-Meteo (ERA5),False
2014,4,31.0,İstanbul,Open-Meteo (ERA5),False
2014,5,50.3,İstanbul,Open-Meteo (ERA5),False
2014,6,60.8,İstanbul,Open-Meteo (ERA5),False
2014,7,40.4,İstanbul,Open-Meteo (ERA5),False
2014,8,27.8,İstanbul,Open-Meteo (ERA5),False
2014,9,99.7,İstanbul,Open-Meteo (ERA5),False
2014,10,84.3,İstanbul,Open-Meteo (ERA5),False
2014,11,55.9,İstanbul,Open-Meteo (ERA5),False
2014,12,113.6,İstanbul,Open-Meteo (ERA5),False
2015,1,109.7,İstanbul,Open-Meteo (ERA5),False
2015,2,120.9,İstanbul,Open-Meteo (ERA5),False
2015,3,69.7,İstanbul,Open-Meteo (ERA5),False
2015,4,78.3,İstanbul,Open-Meteo (ERA5),False
2015,5,29.4,İstanbul,Open-Meteo (ERA5),False
2015,6,32.5,İstanbul,Open-Meteo (ERA5),False
2015,7,1.1,İstanbul,Open-Meteo (ERA5),False
2015,8,6.0,İstanbul,Open-Meteo (ERA5),False
2015,9,80.6,İstanbul,Open-Meteo (ERA5),False
2015,10,108.9,İstanbul,Open-Meteo (ERA5),False
2015,11,33.0,İstanbul,Open-Meteo (ERA5),False
2015,12,26.3,İstanbul,Open-Meteo (ERA5),False
2016,1,152.3,İstanbul,Open-Meteo (ERA5),False
2016,2,74.4,İstanbul,Open-Meteo (ERA5),False
2016,3,71.6,İstanbul,Open-Meteo (ERA5),False
2016,4,14.3,İstanbul,Open-Meteo (ERA5),False
2016,5,51.4,İstanbul,Open-Meteo (ERA5),False
2016,6,14.3,İstanbul,Open-Meteo (ERA5),False
2016,7,3.6,İstanbul,Open-Meteo (ERA5),False
2016,8,19.7,İstanbul,Open-Meteo (ERA5),False
2016,9,46.7,İstanbul,Open-Meteo (ERA5),False
2016,10,33.9,İstanbul,Open-Meteo (ERA5),False
2016,11,120.1,İstanbul,Open-Meteo (ERA5),False
2016,12,136.0,İstanbul,Open-Meteo (ERA5),False
2017,1,135.7,İstanbul,Open-Meteo (ERA5),False
2017,2,34.2,İstanbul,Open-Meteo (ERA5),False
2017,3,55.2,İstanbul,Open-Meteo (ERA5),False
2017,4,36.1,İstanbul,Open-Meteo (ERA5),False
2017,5,46.4,İstanbul,Open-Meteo (ERA5),False
2017,6,67.6,İstanbul,Open-Meteo (ERA5),False
2017,7,47.1,İstanbul,Open-Meteo (ERA5),False
2017,8,25.8,İstanbul,Open-Meteo (ERA5),False
2017,9,35.1,İstanbul,Open-Meteo (ERA5),False
2017,10,108.3,İstanbul,Open-Meteo (ERA5),False
2017,11,62.8,İstanbul,Open-Meteo (ERA5),False
2017,12,93.6,İstanbul,Open-Meteo (ERA5),False
2018,1,80.3,İstanbul,Open-Meteo (ERA5),False
2018,2,89.7,İstanbul,Open-Meteo (ERA5),False
2018,3,120.2,İstanbul,Open-Meteo (ERA5),False
2018,4,20.7,İstanbul,Open-Meteo (ERA5),False
2018,5,87.2,İstanbul,Open-Meteo (ERA5),False
2018,6,56.3,İstanbul,Open-Meteo (ERA5),False
2018,7,49.7,İstanbul,Open-Meteo (ERA5),False
2018,8,1.6,İstanbul,Open-Meteo (ERA5),False
2018,9,69.2,İstanbul,Open-Meteo (ERA5),False
2018,10,26.4,İstanbul,Open-Meteo (ERA5),False
2018,11,98.9,İstanbul,Open-Meteo (ERA5),False
2018,12,167.0,İstanbul,Open-Meteo (ERA5),False
2019,1,121.3,İstanbul,Open-Meteo (ERA5),False
2019,2,77.9,İstanbul,Open-Meteo (ERA5),False
2019,3,37.2,İstanbul,Open-Meteo (ERA5),False
2019,4,47.5,İstanbul,Open-Meteo (ERA5),False
2019,5,57.5,İstanbul,Open-Meteo (ERA5),False
2019,6,30.6,İstanbul,Open-Meteo (ERA5),False
2019,7,36.0,İstanbul,Open-Meteo (ERA5),False
2019,8,46.6,İstanbul,Open-Meteo (ERA5),False
2019,9,17.0,İstanbul,Open-Meteo (ERA5),False
2019,10,50.6,İstanbul,Open-Meteo (ERA5),False
2019,11,51.7,İstanbul,Open-Meteo (ERA5),False
2019,12,74.5,İstanbul,Open-Meteo (ERA5),False
2020,1,121.2,İstanbul,Open-Meteo (ERA5),False
2020,2,76.9,İstanbul,Open-Meteo (ERA5),False
2020,3,75.5,İstanbul,Open-Meteo (ERA5),False
2020,4,59.4,İstanbul,Open-Meteo (ERA5),False
2020,5,68.6,İstanbul,Open-Meteo (ERA5),False
2020,6,96.5,İstanbul,Open-Meteo (ERA5),False
2020,7,2.7,İstanbul,Open-Meteo (ERA5),False
2020,8,2.3,İstanbul,Open-Meteo (ERA5),False
2020,9,21.4,İstanbul,Open-Meteo (ERA5),False
2020,10,99.2,İstanbul,Open-Meteo (ERA5),False
2020,11,19.8,İstanbul,Open-Meteo (ERA5),False
2020,12,37.0,İstanbul,Open-Meteo (ERA5),False
2021,1,149.5,İstanbul,Open-Meteo (ERA5),False
2021,2,59.6,İstanbul,Open-Meteo (ERA5),False
2021,3,95.5,İstanbul,Open-Meteo (ERA5),False
2021,4,68.1,İstanbul,Open-Meteo (ERA5),False
2021,5,51.4,İstanbul,Open-Meteo (ERA5),False
2021,6,95.9,İstanbul,Open-Meteo (ERA5),False
2021,7,73.9,İstanbul,Open-Meteo (ERA5),False
2021,8,12.2,İstanbul,Open-Meteo (ERA5),False
2021,9,29.9,İstanbul,Open-Meteo (ERA5),False
2021,10,38.9,İstanbul,Open-Meteo (ERA5),False
2021,11,78.8,İstanbul,Open-Meteo (ERA5),False
2021,12,93.2,İstanbul,Open-Meteo (ERA5),False
2022,1,81.2,İstanbul,Open-Meteo (ERA5),False
2022,2,148.4,İstanbul,Open-Meteo (ERA5),False
2022,3,38.1,İstanbul,Open-Meteo (ERA5),False
2022,4,64.3,İstanbul,Open-Meteo (ERA5),False
2022,5,21.3,İstanbul,Open-Meteo (ERA5),False
2022,6,56.8,İstanbul,Open-Meteo (ERA5),False
2022,7,29.1,İstanbul,Open-Meteo (ERA5),False
2022,8,65.4,İstanbul,Open-Meteo (ERA5),False
2022,9,45.9,İstanbul,Open-Meteo (ERA5),False
2022,10,28.3,İstanbul,Open-Meteo (ERA5),False
2022,11,36.6,İstanbul,Open-Meteo (ERA5),False
2022,12,48.2,İstanbul,Open-Meteo (ERA5),False
2023,1,23.9,İstanbul,Open-Meteo (ERA5),False
2023,2,55.1,İstanbul,Open-Meteo (ERA5),False
2023,3,137.1,İstanbul,Open-Meteo (ERA5),False
2023,4,101.3,İstanbul,Open-Meteo (ERA5),False
2023,5,68.5,İstanbul,Open-Meteo (ERA5),False
2023,6,46.1,İstanbul,Open-Meteo (ERA5),False
2023,7,25.4,İstanbul,Open-Meteo (ERA5),False
2023,8,4.5,İstanbul,Open-Meteo (ERA5),False
2023,9,43.9,İstanbul,Open-Meteo (ERA5),False
2023,10,43.5,İstanbul,Open-Meteo (ERA5),False
2023,11,262.6,İstanbul,Open-Meteo (ERA5),False
2023,12,76.8,İstanbul,Open-Meteo (ERA5),False
2024,1,112.6,İstanbul,Open-Meteo (ERA5),False
2024,2,28.7,İstanbul,Open-Meteo (ERA5),False
2024,3,71.0,İstanbul,Open-Meteo (ERA5),False
2024,4,67.5,İstanbul,Open-Meteo (ERA5),False
2024,5,84.2,İstanbul,Open-Meteo (ERA5),False
2024,6,9.6,İstanbul,Open-Meteo (ERA5),False
2024,7,36.5,İstanbul,Open-Meteo (ERA5),False
2024,8,14.0,İstanbul,Open-Meteo (ERA5),False
2024,9,94.0,İstanbul,Open-Meteo (ERA5),False
2024,10,10.6,İstanbul,Open-Meteo (ERA5),False
2024,11,74.6,İstanbul,Open-Meteo (ERA5),False
2024,12,146.6,İstanbul,Open-Meteo (ERA5),False
2004,1,96.8,Tekirdağ,Open-Meteo (ERA5),False
2004,2,27.3,Tekirdağ,Open-Meteo (ERA5),False
2004,3,38.7,Tekirdağ,Open-Meteo (ERA5),False
2004,4,13.3,Tekirdağ,Open-Meteo (ERA5),False
2004,5,35.7,Tekirdağ,Open-Meteo (ERA5),False
2004,6,90.2,Tekirdağ,Open-Meteo (ERA5),False
2004,7,16.4,Tekirdağ,Open-Meteo (ERA5),False
2004,8,37.2,Tekirdağ,Open-Meteo (ERA5),False
2004,9,2.8,Tekirdağ,Open-Meteo (ERA5),False
2004,10,32.8,Tekirdağ,Open-Meteo (ERA5),False
2004,11,27.8,Tekirdağ,Open-Meteo (ERA5),False
2004,12,70.0,Tekirdağ,Open-Meteo (ERA5),False
2005,1,74.0,Tekirdağ,Open-Meteo (ERA5),False
2005,2,122.5,Tekirdağ,Open-Meteo (ERA5),False
2005,3,42.7,Tekirdağ,Open-Meteo (ERA5),False
2005,4,20.2,Tekirdağ,Open-Meteo (ERA5),False
2005,5,50.8,Tekirdağ,Open-Meteo (ERA5),False
2005,6,30.5,Tekirdağ,Open-Meteo (ERA5),False
2005,7,23.6,Tekirdağ,Open-Meteo (ERA5),False
2005,8,22.9,Tekirdağ,Open-Meteo (ERA5),False
2005,9,14.2,Tekirdağ,Open-Meteo (ERA5),False
2005,10,20.0,Tekirdağ,Open-Meteo (ERA5),False
2005,11,146.7,Tekirdağ,Open-Meteo (ERA5),False
2005,12,108.0,Tekirdağ,Open-Meteo (ERA5),False
2006,1,51.4,Tekirdağ,Open-Meteo (ERA5),False
2006,2,66.3,Tekirdağ,Open-Meteo (ERA5),False
2006,3,96.4,Tekirdağ,Open-Meteo (ERA5),False
2006,4,22.3,Tekirdağ,Open-Meteo (ERA5),False
2006,5,28.1,Tekirdağ,Open-Meteo (ERA5),False
2006,6,40.0,Tekirdağ,Open-Meteo (ERA5),False
2006,7,28.1,Tekirdağ,Open-Meteo (ERA5),False
2006,8,8.5,Tekirdağ,Open-Meteo (ERA5),False
2006,9,58.0,Tekirdağ,Open-Meteo (ERA5),False
2006,10,45.9,Tekirdağ,Open-Meteo (ERA5),False
2006,11,28.3,Tekirdağ,Open-Meteo (ERA5),False
2006,12,21.2,Tekirdağ,Open-Meteo (ERA5),False
2007,1,61.3,Tekirdağ,Open-Meteo (ERA5),False
2007,2,42.4,Tekirdağ,Open-Meteo (ERA5),False
2007,3,77.1,Tekirdağ,Open-Meteo (ERA5),False
2007,4,26.5,Tekirdağ,Open-Meteo (ERA5),False
2007,5,61.7,Tekirdağ,Open-Meteo (ERA5),False
2007,6,10.9,Tekirdağ,Open-Meteo (ERA5),False
2007,7,0.5,Tekirdağ,Open-Meteo (ERA5),False
2007,8,6.9,Tekirdağ,Open-Meteo (ERA5),False
2007,9,29.4,Tekirdağ,Open-Meteo (ERA5),False
2007,10,39.9,Tekirdağ,Open-Meteo (ERA5),False
2007,11,123.6,Tekirdağ,Open-Meteo (ERA5),False
2007,12,47.1,Tekirdağ,Open-Meteo (ERA5),False
2008,1,42.5,Tekirdağ,Open-Meteo (ERA5),False
2008,2,15.8,Tekirdağ,Open-Meteo (ERA5),False
2008,3,56.3,Tekirdağ,Open-Meteo (ERA5),False
2008,4,49.2,Tekirdağ,Open-Meteo (ERA5),False
2008,5,36.2,Tekirdağ,Open-Meteo (ERA5),False
2008,6,33.6,Tekirdağ,Open-Meteo (ERA5),False
2008,7,9.3,Tekirdağ,Open-Meteo (ERA5),False
2008,8,3.8,Tekirdağ,Open-Meteo (ERA5),False
2008,9,54.6,Tekirdağ,Open-Meteo (ERA5),False
2008,10,21.2,Tekirdağ,Open-Meteo (ERA5),False
2008,11,39.1,Tekirdağ,Open-Meteo (ERA5),False
2008,12,29.2,Tekirdağ,Open-Meteo (ERA5),False
2009,1,76.7,Tekirdağ,Open-Meteo (ERA5),False
2009,2,109.7,Tekirdağ,Open-Meteo (ERA5),False
2009,3,83.2,Tekirdağ,Open-Meteo (ERA5),False
2009,4,32.2,Tekirdağ,Open-Meteo (ERA5),False
2009,5,30.7,Tekirdağ,Open-Meteo (ERA5),False
2009,6,24.3,Tekirdağ,Open-Meteo (ERA5),False
2009,7,19.4,Tekirdağ,Open-Meteo (ERA5),False
2009,8,3.5,Tekirdağ,Open-Meteo (ERA5),False
2009,9,59.1,Tekirdağ,Open-Meteo (ERA5),False
2009,10,92.0,Tekirdağ,Open-Meteo (ERA5),False
2009,11,33.1,Tekirdağ,Open-Meteo (ERA5),False
2009,12,101.7,Tekirdağ,Open-Meteo (ERA5),False
2010,1,87.1,Tekirdağ,Open-Meteo (ERA5),False
2010,2,135.6,Tekirdağ,Open-Meteo (ERA5),False
2010,3,73.5,Tekirdağ,Open-Meteo (ERA5),False
2010,4,36.9,Tekirdağ,Open-Meteo (ERA5),False
2010,5,17.6,Tekirdağ,Open-Meteo (ERA5),False
2010,6,51.2,Tekirdağ,Open-Meteo (ERA5),False
2010,7,50.7,Tekirdağ,Open-Meteo (ERA5),False
2010,8,3.2,Tekirdağ,Open-Meteo (ERA5),False
2010,9,10.4,Tekirdağ,Open-Meteo (ERA5),False
2010,10,150.2,Tekirdağ,Open-Meteo (ERA5),False
2010,11,99.7,Tekirdağ,Open-Meteo (ERA5),False
2010,12,105.1,Tekirdağ,Open-Meteo (ERA5),False
2011,1,46.8,Tekirdağ,Open-Meteo (ERA5),False
2011,2,27.4,Tekirdağ,Open-Meteo (ERA5),False
2011,3,33.4,Tekirdağ,Open-Meteo (ERA5),False
2011,4,67.1,Tekirdağ,Open-Meteo (ERA5),False
2011,5,44.8,Tekirdağ,Open-Meteo (ERA5),False
2011,6,46.9,Tekirdağ,Open-Meteo (ERA5),False
2011,7,12.8,Tekirdağ,Open-Meteo (ERA5),False
2011,8,11.2,Tekirdağ,Open-Meteo (ERA5),False
2011,9,11.7,Tekirdağ,Open-Meteo (ERA5),False
2011,10,163.3,Tekirdağ,Open-Meteo (ERA5),False
2011,11,2.8,Tekirdağ,Open-Meteo (ERA5),False
2011,12,95.8,Tekirdağ,Open-Meteo (ERA5),False
2012,1,60.4,Tekirdağ,Open-Meteo (ERA5),False
2012,2,48.3,Tekirdağ,Open-Meteo (ERA5),False
2012,3,28.7,Tekirdağ,Open-Meteo (ERA5),False
2012,4,58.9,Tekirdağ,Open-Meteo (ERA5),False
2012,5,89.5,Tekirdağ,Open-Meteo (ERA5),False
2012,6,9.3,Tekirdağ,Open-Meteo (ERA5),False
2012,7,5.4,Tekirdağ,Open-Meteo (ERA5),False
2012,8,15.0,Tekirdağ,Open-Meteo (ERA5),False
2012,9,0.7,Tekirdağ,Open-Meteo (ERA5),False
2012,10,38.5,Tekirdağ,Open-Meteo (ERA5),False
2012,11,57.0,Tekirdağ,Open-Meteo (ERA5),False
2012,12,148.6,Tekirdağ,Open-Meteo (ERA5),False
2013,1,98.7,Tekirdağ,Open-Meteo (ERA5),False
2013,2,89.5,Tekirdağ,Open-Meteo (ERA5),False
2013,3,70.9,Tekirdağ,Open-Meteo (ERA5),False
2013,4,39.4,Tekirdağ,Open-Meteo (ERA5),False
2013,5,18.1,Tekirdağ,Open-Meteo (ERA5),False
2013,6,58.0,Tekirdağ,Open-Meteo (ERA5),False
2013,7,8.0,Tekirdağ,Open-Meteo (ERA5),False
2013,8,3.8,Tekirdağ,Open-Meteo (ERA5),False
2013,9,8.8,Tekirdağ,Open-Meteo (ERA5),False
2013,10,78.0,Tekirdağ,Open-Meteo (ERA5),False
2013,11,75.5,Tekirdağ,Open-Meteo (ERA5),False
2013,12,9.2,Tekirdağ,Open-Meteo (ERA5),False
2014,1,74.3,Tekirdağ,Open-Meteo (ERA5),False
2014,2,7.6,Tekirdağ,Open-Meteo (ERA5),False
2014,3,99.8,Tekirdağ,Open-Meteo (ERA5),False
2014,4,50.2,Tekirdağ,Open-Meteo (ERA5),False
2014,5,93.2,Tekirdağ,Open-Meteo (ERA5),False
2014,6,89.8,Tekirdağ,Open-Meteo (ERA5),False
2014,7,36.1,Tekirdağ,Open-Meteo (ERA5),False
2014,8,22.4,Tekirdağ,Open-Meteo (ERA5),False
2014,9,64.9,Tekirdağ,Open-Meteo (ERA5),False
2014,10,117.2,Tekirdağ,Open-Meteo (ERA5),False
2014,11,44.5,Tekirdağ,Open-Meteo (ERA5),False
2014,12,114.1,Tekirdağ,Open-Meteo (ERA5),False
2015,1,67.8,Tekirdağ,Open-Meteo (ERA5),False
2015,2,53.7,Tekirdağ,Open-Meteo (ERA5),False
2015,3,72.4,Tekirdağ,Open-Meteo (ERA5),False
2015,4,89.1,Tekirdağ,Open-Meteo (ERA5),False
2015,5,26.7,Tekirdağ,Open-Meteo (ERA5),False
2015,6,49.2,Tekirdağ,Open-Meteo (ERA5),False
2015,7,3.2,Tekirdağ,Open-Meteo (ERA5),False
2015,8,10.6,Tekirdağ,Open-Meteo (ERA5),False
2015,9,51.1,Tekirdağ,Open-Meteo (ERA5),False
2015,10,82.3,Tekirdağ,Open-Meteo (ERA5),False
2015,11,41.0,Tekirdağ,Open-Meteo (ERA5),False
2015,12,0.0,Tekirdağ,Open-Meteo (ERA5),False
2016,1,92.5,Tekirdağ,Open-Meteo (ERA5),False
2016,2,96.9,Tekirdağ,Open-Meteo (ERA5),False
2016,3,49.6,Tekirdağ,Open-Meteo (ERA5),False
2016,4,42.0,Tekirdağ,Open-Meteo (ERA5),False
2016,5,36.9,Tekirdağ,Open-Meteo (ERA5),False
2016,6,46.2,Tekirdağ,Open-Meteo (ERA5),False
2016,7,1.9,Tekirdağ,Open-Meteo (ERA5),False
2016,8,8.7,Tekirdağ,Open-Meteo (ERA5),False
2016,9,15.7,Tekirdağ,Open-Meteo (ERA5),False
2016,10,32.5,Tekirdağ,Open-Meteo (ERA5),False
2016,11,60.2,Tekirdağ,Open-Meteo (ERA5),False
2016,12,21.0,Tekirdağ,Open-Meteo (ERA5),False
2017,1,126.3,Tekirdağ,Open-Meteo (ERA5),False
2017,2,52.0,Tekirdağ,Open-Meteo (ERA5),False
2017,3,70.3,Tekirdağ,Open-Meteo (ERA5),False
2017,4,69.5,Tekirdağ,Open-Meteo (ERA5),False
2017,5,35.7,Tekirdağ,Open-Meteo (ERA5),False
2017,6,73.1,Tekirdağ,Open-Meteo (ERA5),False
2017,7,62.1,Tekirdağ,Open-Meteo (ERA5),False
2017,8,13.2,Tekirdağ,Open-Meteo (ERA5),False
2017,9,73.8,Tekirdağ,Open-Meteo (ERA5),False
2017,10,98.8,Tekirdağ,Open-Meteo (ERA5),False
2017,11,82.4,Tekirdağ,Open-Meteo (ERA5),False
2017,12,78.4,Tekirdağ,Open-Meteo (ERA5),False
2018,1,84.4,Tekirdağ,Open-Meteo (ERA5),False
2018,2,97.7,Tekirdağ,Open-Meteo (ERA5),False
2018,3,134.5,Tekirdağ,Open-Meteo (ERA5),False
2018,4,11.5,Tekirdağ,Open-Meteo (ERA5),False
2018,5,60.9,Tekirdağ,Open-Meteo (ERA5),False
2018,6,110.2,Tekirdağ,Open-Meteo (ERA5),False
2018,7,88.0,Tekirdağ,Open-Meteo (ERA5),False
2018,8,5.2,Tekirdağ,Open-Meteo (ERA5),False
2018,9,29.0,Tekirdağ,Open-Meteo (ERA5),False
2018,10,32.5,Tekirdağ,Open-Meteo (ERA5),False
2018,11,93.5,Tekirdağ,Open-Meteo (ERA5),False
2018,12,61.6,Tekirdağ,Open-Meteo (ERA5),False
2019,1,82.0,Tekirdağ,Open-Meteo (ERA5),False
2019,2,46.6,Tekirdağ,Open-Meteo (ERA5),False
2019,3,20.7,Tekirdağ,Open-Meteo (ERA5),False
2019,4,65.0,Tekirdağ,Open-Meteo (ERA5),False
2019,5,61.3,Tekirdağ,Open-Meteo (ERA5),False
2019,6,30.5,Tekirdağ,Open-Meteo (ERA5),False
2019,7,36.4,Tekirdağ,Open-Meteo (ERA5),False
2019,8,8.2,Tekirdağ,Open-Meteo (ERA5),False
2019,9,11.3,Tekirdağ,Open-Meteo (ERA5),False
2019,10,20.9,Tekirdağ,Open-Meteo (ERA5),False
2019,11,37.8,Tekirdağ,Open-Meteo (ERA5),False
2019,12,37.0,Tekirdağ,Open-Meteo (ERA5),False
2020,1,41.6,Tekirdağ,Open-Meteo (ERA5),False
2020,2,50.6,Tekirdağ,Open-Meteo (ERA5),False
2020,3,33.6,Tekirdağ,Open-Meteo (ERA5),False
2020,4,79.1,Tekirdağ,Open-Meteo (ERA5),False
2020,5,61.5,Tekirdağ,Open-Meteo (ERA5),False
2020,6,130.2,Tekirdağ,Open-Meteo (ERA5),False
2020,7,2.2,Tekirdağ,Open-Meteo (ERA5),False
2020,8,4.5,Tekirdağ,Open-Meteo (ERA5),False
