il,year,month,ndvi,source
İstanbul,2010,5,0.1319,Landsat7
İstanbul,2010,6,0.129,Landsat7
İstanbul,2010,7,0.0571,Landsat7
İstanbul,2010,8,0.0677,Landsat7
İstanbul,2010,9,0.1053,Landsat7
İstanbul,2010,10,0.1371,Landsat7
İstanbul,2010,11,,Landsat7
İstanbul,2010,12,,Landsat7
İstanbul,2011,1,0.1345,Landsat7
İstanbul,2011,2,0.0818,Landsat7
İstanbul,2011,3,0.0433,Landsat7
İstanbul,2011,4,,Landsat7
İstanbul,2011,5,0.1313,Landsat7
İstanbul,2011,6,0.0766,Landsat7
İstanbul,2011,7,0.131,Landsat7
İstanbul,2011,8,0.0496,Landsat7
İstanbul,2011,9,0.0242,Landsat7
İstanbul,2011,10,0.1065,Landsat7
İstanbul,2011,11,0.0488,Landsat7
İstanbul,2011,12,0.1047,Landsat7
İstanbul,2012,1,0.0761,Landsat7
İstanbul,2012,2,0.1031,Landsat7
İstanbul,2012,3,0.1066,Landsat7
İstanbul,2012,4,0.1814,Landsat7
İstanbul,2012,5,,Landsat7
İstanbul,2012,6,0.1164,Landsat7
İstanbul,2012,7,0.1064,Landsat7
İstanbul,2012,8,0.0348,Landsat7
İstanbul,2012,9,0.0493,Landsat7
İstanbul,2012,10,0.1043,Landsat7
İstanbul,2012,11,0.1324,Landsat7
İstanbul,2012,12,0.0485,Landsat7
İstanbul,2013,1,0.1173,Landsat7
İstanbul,2013,2,0.0747,Landsat7
İstanbul,2013,3,,Landsat7
İstanbul,2013,4,0.1587,Landsat7
İstanbul,2013,5,0.147,Landsat7
İstanbul,2013,6,0.1205,Landsat7
İstanbul,2013,7,-0.0047,Landsat7
İstanbul,2013,8,0.0537,Landsat7
İstanbul,2013,9,0.0303,Landsat7
İstanbul,2013,10,0.0497,Landsat7
İstanbul,2013,11,0.1259,Landsat7
İstanbul,2013,12,0.093,Landsat7
İstanbul,2014,1,,Landsat7
İstanbul,2014,2,0.0343,Landsat7
İstanbul,2014,3,0.0871,Landsat7
İstanbul,2014,4,0.1061,Landsat7
İstanbul,2014,5,0.0313,Landsat7
İstanbul,2014,6,0.079,Landsat7
İstanbul,2014,7,0.0983,Landsat7
İstanbul,2014,8,0.1104,Landsat7
İstanbul,2014,9,0.0461,Landsat7
İstanbul,2014,10,0.1505,Landsat7
İstanbul,2014,11,0.1144,Landsat7
İstanbul,2014,12,0.1141,Landsat7
İstanbul,2015,1,0.0739,Landsat7
İstanbul,2015,2,,Landsat7
İstanbul,2015,3,0.0854,Landsat7
İstanbul,2015,4,0.0616,Landsat7
İstanbul,2015,5,0.0846,Landsat7
İstanbul,2015,6,0.1327,Landsat7
İstanbul,2015,7,0.1272,Landsat7
İstanbul,2015,8,0.1015,Landsat7
İstanbul,2015,9,-0.0296,Landsat7
İstanbul,2015,10,,Landsat7
İstanbul,2015,11,0.0891,Landsat7
İstanbul,2015,12,0.0795,Landsat7
İstanbul,2016,1,,Landsat7
İstanbul,2016,2,,Landsat7
İstanbul,2016,3,0.1043,Landsat7
İstanbul,2016,4,0.1628,Landsat7
İstanbul,2016,5,0.0772,Landsat7
İstanbul,2016,6,0.1552,Landsat7
İstanbul,2016,7,0.1238,Landsat7
İstanbul,2016,8,0.0957,Landsat7
İstanbul,2016,9,0.1078,Landsat7
İstanbul,2016,10,0.072,Landsat7
İstanbul,2016,11,0.0848,Landsat7
İstanbul,2016,12,0.0614,Landsat7
İstanbul,2017,1,,Sentinel-2
İstanbul,2017,2,,Sentinel-2
İstanbul,2017,3,,Sentinel-2
İstanbul,2017,4,0.1466,Sentinel-2
İstanbul,2017,5,0.2579,Sentinel-2
İstanbul,2017,6,0.2356,Sentinel-2
İstanbul,2017,7,0.2468,Sentinel-2
İstanbul,2017,8,0.18,Sentinel-2
İstanbul,2017,9,0.2135,Sentinel-2
İstanbul,2017,10,0.1611,Sentinel-2
İstanbul,2017,11,0.1143,Sentinel-2
İstanbul,2017,12,0.0452,Sentinel-2
İstanbul,2018,1,-0.0368,Sentinel-2
İstanbul,2018,2,0.1491,Sentinel-2
İstanbul,2018,3,0.1582,Sentinel-2
İstanbul,2018,4,0.2038,Sentinel-2
İstanbul,2018,5,0.2273,Sentinel-2
İstanbul,2018,6,0.2275,Sentinel-2
İstanbul,2018,7,0.1767,Sentinel-2
İstanbul,2018,8,0.1558,Sentinel-2
İstanbul,2018,9,0.1542,Sentinel-2
İstanbul,2018,10,0.1566,Sentinel-2
İstanbul,2018,11,0.0851,Sentinel-2
İstanbul,2018,12,,Sentinel-2
İstanbul,2019,1,-0.0234,Sentinel-2
İstanbul,2019,2,0.143,Sentinel-2
İstanbul,2019,3,0.1241,Sentinel-2
İstanbul,2019,4,0.1692,Sentinel-2
İstanbul,2019,5,0.2827,Sentinel-2
İstanbul,2019,6,0.231,Sentinel-2
İstanbul,2019,7,0.2585,Sentinel-2
İstanbul,2019,8,0.2343,Sentinel-2
İstanbul,2019,9,0.1781,Sentinel-2
İstanbul,2019,10,0.1691,Sentinel-2
İstanbul,2019,11,0.1636,Sentinel-2
İstanbul,2019,12,0.1203,Sentinel-2
İstanbul,2020,1,0.0633,Sentinel-2
İstanbul,2020,2,0.0597,Sentinel-2
İstanbul,2020,3,0.153,Sentinel-2
İstanbul,2020,4,0.2067,Sentinel-2
İstanbul,2020,5,0.2441,Sentinel-2
İstanbul,2020,6,0.2406,Sentinel-2
İstanbul,2020,7,0.2244,Sentinel-2
İstanbul,2020,8,0.2006,Sentinel-2
İstanbul,2020,9,0.162,Sentinel-2
İstanbul,2020,10,0.1623,Sentinel-2
İstanbul,2020,11,0.1751,Sentinel-2
İstanbul,2020,12,,Sentinel-2
İstanbul,2021,1,0.1924,Sentinel-2
İstanbul,2021,2,0.1393,Sentinel-2
İstanbul,2021,3,0.1374,Sentinel-2
İstanbul,2021,4,0.1955,Sentinel-2
İstanbul,2021,5,0.2539,Sentinel-2
İstanbul,2021,6,0.2543,Sentinel-2
İstanbul,2021,7,0.2304,Sentinel-2
İstanbul,2021,8,0.2097,Sentinel-2
İstanbul,2021,9,0.1296,Sentinel-2
İstanbul,2021,10,0.1661,Sentinel-2
İstanbul,2021,11,0.1853,Sentinel-2
İstanbul,2021,12,0.1209,Sentinel-2
İstanbul,2022,1,0.0056,Sentinel-2
İstanbul,2022,2,0.0223,Sentinel-2
İstanbul,2022,3,0.1161,Sentinel-2
İstanbul,2022,4,0.2011,Sentinel-2
İstanbul,2022,5,0.232,Sentinel-2
İstanbul,2022,6,0.2315,Sentinel-2
İstanbul,2022,7,0.2444,Sentinel-2
İstanbul,2022,8,0.1491,Sentinel-2
İstanbul,2022,9,0.2048,Sentinel-2
İstanbul,2022,10,0.1912,Sentinel-2
İstanbul,2022,11,0.1586,Sentinel-2
İstanbul,2022,12,,Sentinel-2
İstanbul,2023,1,0.0887,Sentinel-2
İstanbul,2023,2,0.0917,Sentinel-2
İstanbul,2023,3,,Sentinel-2
İstanbul,2023,4,0.176,Sentinel-2
İstanbul,2023,5,0.2881,Sentinel-2
İstanbul,2023,6,0.2297,Sentinel-2
İstanbul,2023,7,0.2387,Sentinel-2
İstanbul,2023,8,0.2062,Sentinel-2
İstanbul,2023,9,0.1812,Sentinel-2
İstanbul,2023,10,0.2194,Sentinel-2
İstanbul,2023,11,,Sentinel-2
İstanbul,2023,12,0.0142,Sentinel-2
İstanbul,2024,1,0.1116,Sentinel-2
İstanbul,2024,2,0.0776,Sentinel-2
İstanbul,2024,3,0.1496,Sentinel-2
İstanbul,2024,4,0.196,Sentinel-2
İstanbul,2024,5,0.2686,Sentinel-2
İstanbul,2024,6,0.2497,Sentinel-2
İstanbul,2024,7,0.2138,Sentinel-2
İstanbul,2024,8,0.1983,Sentinel-2
İstanbul,2024,9,0.1658,Sentinel-2
İstanbul,2024,10,0.2002,Sentinel-2
İstanbul,2024,11,0.1087,Sentinel-2
İstanbul,2024,12,0.0566,Sentinel-2
Tekirdağ,2004,1,,Landsat7
Tekirdağ,2004,2,0.1722,Landsat7
Tekirdağ,2004,3,0.1207,Landsat7
Tekirdağ,2004,4,,Landsat7
Tekirdağ,2004,5,0.2725,Landsat7
Tekirdağ,2004,6,0.2417,Landsat7
Tekirdağ,2004,7,0.1528,Landsat7
Tekirdağ,2004,8,0.144,Landsat7
Tekirdağ,2004,9,0.1069,Landsat7
Tekirdağ,2004,10,0.1058,Landsat7
Tekirdağ,2004,11,0.0689,Landsat7
Tekirdağ,2004,12,0.0669,Landsat7
Tekirdağ,2005,1,0.0752,Landsat7
Tekirdağ,2005,2,,Landsat7
Tekirdağ,2005,3,0.1253,Landsat7
Tekirdağ,2005,4,0.2205,Landsat7
Tekirdağ,2005,5,0.2443,Landsat7
Tekirdağ,2005,6,0.2024,Landsat7
Tekirdağ,2005,7,0.1939,Landsat7
Tekirdağ,2005,8,0.1198,Landsat7
Tekirdağ,2005,9,0.0838,Landsat7
Tekirdağ,2005,10,0.0985,Landsat7
Tekirdağ,2005,11,,Landsat7
Tekirdağ,2005,12,,Landsat7
Tekirdağ,2006,1,,Landsat7
Tekirdağ,2006,2,,Landsat7
Tekirdağ,2006,3,0.1383,Landsat7
Tekirdağ,2006,4,0.1949,Landsat7
Tekirdağ,2006,5,0.2433,Landsat7
Tekirdağ,2006,6,0.2329,Landsat7
Tekirdağ,2006,7,,Landsat7
Tekirdağ,2006,8,0.1283,Landsat7
Tekirdağ,2006,9,-0.0345,Landsat7
Tekirdağ,2006,10,,Landsat7
Tekirdağ,2006,11,0.0998,Landsat7
Tekirdağ,2006,12,,Landsat7
Tekirdağ,2007,1,,Landsat7
Tekirdağ,2007,2,0.1879,Landsat7
Tekirdağ,2007,3,,Landsat7
Tekirdağ,2007,4,0.2734,Landsat7
Tekirdağ,2007,5,0.2863,Landsat7
Tekirdağ,2007,6,0.2199,Landsat7
Tekirdağ,2007,7,0.1332,Landsat7
Tekirdağ,2007,8,0.1017,Landsat7
Tekirdağ,2007,9,,Landsat7
Tekirdağ,2007,10,0.0988,Landsat7
Tekirdağ,2007,11,,Landsat7
Tekirdağ,2007,12,,Landsat7
Tekirdağ,2008,1,0.1611,Landsat7
Tekirdağ,2008,2,0.041,Landsat7
Tekirdağ,2008,3,0.181,Landsat7
Tekirdağ,2008,4,,Landsat7
Tekirdağ,2008,5,0.3085,Landsat7
Tekirdağ,2008,6,0.2046,Landsat7
Tekirdağ,2008,7,0.1632,Landsat7
Tekirdağ,2008,8,0.1257,Landsat7
Tekirdağ,2008,9,0.1162,Landsat7
Tekirdağ,2008,10,,Landsat7
Tekirdağ,2008,11,,Landsat7
Tekirdağ,2008,12,,Landsat7
Tekirdağ,2009,1,,Landsat7
Tekirdağ,2009,2,,Landsat7
Tekirdağ,2009,3,,Landsat7
Tekirdağ,2009,4,,Landsat7
Tekirdağ,2009,5,0.3011,Landsat7
Tekirdağ,2009,6,0.1969,Landsat7
Tekirdağ,2009,7,0.1281,Landsat7
Tekirdağ,2009,8,0.1399,Landsat7
Tekirdağ,2009,9,0.1187,Landsat7
Tekirdağ,2009,10,0.1211,Landsat7
Tekirdağ,2009,11,,Landsat7
Tekirdağ,2009,12,,Landsat7
Tekirdağ,2010,1,,Landsat7
Tekirdağ,2010,2,,Landsat7
Tekirdağ,2010,3,0.1903,Landsat7
Tekirdağ,2010,4,0.3097,Landsat7
Tekirdağ,2010,5,0.2817,Landsat7
Tekirdağ,2010,6,,Landsat7
Tekirdağ,2010,7,0.1879,Landsat7
Tekirdağ,2010,8,0.1936,Landsat7
Tekirdağ,2010,9,0.0864,Landsat7
Tekirdağ,2010,10,,Landsat7
Tekirdağ,2010,11,,Landsat7
Tekirdağ,2010,12,,Landsat7
Tekirdağ,2011,1,,Landsat7
Tekirdağ,2011,2,,Landsat7
Tekirdağ,2011,3,0.0532,Landsat7
Tekirdağ,2011,4,,Landsat7
Tekirdağ,2011,5,0.2446,Landsat7
Tekirdağ,2011,6,0.225,Landsat7
Tekirdağ,2011,7,0.1926,Landsat7
Tekirdağ,2011,8,0.1527,Landsat7
Tekirdağ,2011,9,0.111,Landsat7
Tekirdağ,2011,10,,Landsat7
Tekirdağ,2011,11,,Landsat7
Tekirdağ,2011,12,,Landsat7
Tekirdağ,2012,1,,Landsat7
Tekirdağ,2012,2,0.0664,Landsat7
Tekirdağ,2012,3,0.1228,Landsat7
Tekirdağ,2012,4,,Landsat7
Tekirdağ,2012,5,0.2905,Landsat7
Tekirdağ,2012,6,0.2322,Landsat7
Tekirdağ,2012,7,0.1633,Landsat7
Tekirdağ,2012,8,,Landsat7
Tekirdağ,2012,9,,Landsat7
Tekirdağ,2012,10,0.0462,Landsat7
Tekirdağ,2012,11,,Landsat7
Tekirdağ,2012,12,,Landsat7
Tekirdağ,2013,1,,Landsat7
Tekirdağ,2013,2,0.1229,Landsat7
Tekirdağ,2013,3,,Landsat7
Tekirdağ,2013,4,0.2773,Landsat7
Tekirdağ,2013,5,0.2474,Landsat7
Tekirdağ,2013,6,0.2061,Landsat7
Tekirdağ,2013,7,0.2111,Landsat7
Tekirdağ,2013,8,0.144,Landsat7
Tekirdağ,2013,9,0.1239,Landsat7
Tekirdağ,2013,10,,Landsat7
Tekirdağ,2013,11,,Landsat7
Tekirdağ,2013,12,0.1513,Landsat7
Tekirdağ,2014,1,,Landsat7
Tekirdağ,2014,2,,Landsat7
Tekirdağ,2014,3,,Landsat7
Tekirdağ,2014,4,,Landsat7
Tekirdağ,2014,5,0.2301,Landsat7
Tekirdağ,2014,6,0.2086,Landsat7
Tekirdağ,2014,7,0.1794,Landsat7
Tekirdağ,2014,8,0.2135,Landsat7
Tekirdağ,2014,9,,Landsat7
Tekirdağ,2014,10,0.1157,Landsat7
Tekirdağ,2014,11,0.0483,Landsat7
Tekirdağ,2014,12,,Landsat7
Tekirdağ,2015,1,0.1127,Landsat7
Tekirdağ,2015,2,,Landsat7
Tekirdağ,2015,3,,Landsat7
Tekirdağ,2015,4,,Landsat7
Tekirdağ,2015,5,,Landsat7
Tekirdağ,2015,6,0.1738,Landsat7
Tekirdağ,2015,7,0.2341,Landsat7
Tekirdağ,2015,8,0.1687,Landsat7
Tekirdağ,2015,9,0.1219,Landsat7
Tekirdağ,2015,10,0.0922,Landsat7
Tekirdağ,2015,11,0.1154,Landsat7
Tekirdağ,2015,12,0.1375,Landsat7
Tekirdağ,2016,1,0.0593,Landsat7
Tekirdağ,2016,2,,Landsat7
Tekirdağ,2016,3,,Landsat7
Tekirdağ,2016,4,0.2949,Landsat7
Tekirdağ,2016,5,0.1051,Landsat7
Tekirdağ,2016,6,,Landsat7
Tekirdağ,2016,7,0.1323,Landsat7
Tekirdağ,2016,8,0.1206,Landsat7
Tekirdağ,2016,9,0.0974,Landsat7
Tekirdağ,2016,10,0.0855,Landsat7
Tekirdağ,2016,11,0.0636,Landsat7
Tekirdağ,2016,12,0.0882,Landsat7
Tekirdağ,2017,1,,Sentinel-2
Tekirdağ,2017,2,,Sentinel-2
Tekirdağ,2017,3,0.3338,Sentinel-2
Tekirdağ,2017,4,0.5241,Sentinel-2
Tekirdağ,2017,5,0.5568,Sentinel-2
Tekirdağ,2017,6,0.5146,Sentinel-2
Tekirdağ,2017,7,0.4283,Sentinel-2
Tekirdağ,2017,8,0.3497,Sentinel-2
Tekirdağ,2017,9,0.2862,Sentinel-2
Tekirdağ,2017,10,0.3071,Sentinel-2
Tekirdağ,2017,11,0.4468,Sentinel-2
Tekirdağ,2017,12,0.4329,Sentinel-2
Tekirdağ,2018,1,0.4419,Sentinel-2
Tekirdağ,2018,2,0.461,Sentinel-2
Tekirdağ,2018,3,0.4947,Sentinel-2
Tekirdağ,2018,4,0.5728,Sentinel-2
Tekirdağ,2018,5,0.5212,Sentinel-2
Tekirdağ,2018,6,0.3982,Sentinel-2
Tekirdağ,2018,7,0.4358,Sentinel-2
Tekirdağ,2018,8,0.3929,Sentinel-2
Tekirdağ,2018,9,0.3213,Sentinel-2
Tekirdağ,2018,10,0.2611,Sentinel-2
Tekirdağ,2018,11,0.2616,Sentinel-2
Tekirdağ,2018,12,0.4053,Sentinel-2
Tekirdağ,2019,1,0.302,Sentinel-2
Tekirdağ,2019,2,0.3792,Sentinel-2
Tekirdağ,2019,3,0.4823,Sentinel-2
Tekirdağ,2019,4,0.3938,Sentinel-2
Tekirdağ,2019,5,0.593,Sentinel-2
Tekirdağ,2019,6,0.4225,Sentinel-2
Tekirdağ,2019,7,0.4064,Sentinel-2
Tekirdağ,2019,8,0.3138,Sentinel-2
Tekirdağ,2019,9,0.2322,Sentinel-2
Tekirdağ,2019,10,0.2542,Sentinel-2
Tekirdağ,2019,11,0.2406,Sentinel-2
Tekirdağ,2019,12,0.4216,Sentinel-2
Tekirdağ,2020,1,0.5103,Sentinel-2
Tekirdağ,2020,2,0.4514,Sentinel-2
Tekirdağ,2020,3,0.5689,Sentinel-2
Tekirdağ,2020,4,0.5569,Sentinel-2
Tekirdağ,2020,5,0.5661,Sentinel-2
Tekirdağ,2020,6,0.3488,Sentinel-2
Tekirdağ,2020,7,0.4394,Sentinel-2
Tekirdağ,2020,8,0.2863,Sentinel-2
Tekirdağ,2020,9,0.2264,Sentinel-2
Tekirdağ,2020,10,0.2346,Sentinel-2
Tekirdağ,2020,11,0.312,Sentinel-2
Tekirdağ,2020,12,0.4332,Sentinel-2
Tekirdağ,2021,1,0.4264,Sentinel-2
Tekirdağ,2021,2,0.4454,Sentinel-2
Tekirdağ,2021,3,0.4494,Sentinel-2
Tekirdağ,2021,4,0.5417,Sentinel-2
Tekirdağ,2021,5,0.506,Sentinel-2
Tekirdağ,2021,6,0.4767,Sentinel-2
Tekirdağ,2021,7,0.4665,Sentinel-2
Tekirdağ,2021,8,0.3135,Sentinel-2
Tekirdağ,2021,9,0.2766,Sentinel-2
Tekirdağ,2021,10,0.2842,Sentinel-2
Tekirdağ,2021,11,0.3189,Sentinel-2
Tekirdağ,2021,12,0.4685,Sentinel-2
Tekirdağ,2022,1,0.4408,Sentinel-2
Tekirdağ,2022,2,0.3738,Sentinel-2
Tekirdağ,2022,3,0.3961,Sentinel-2
Tekirdağ,2022,4,0.4884,Sentinel-2
Tekirdağ,2022,5,0.5857,Sentinel-2
Tekirdağ,2022,6,0.5183,Sentinel-2
Tekirdağ,2022,7,0.3907,Sentinel-2
Tekirdağ,2022,8,0.2996,Sentinel-2
Tekirdağ,2022,9,0.3356,Sentinel-2
Tekirdağ,2022,10,0.2693,Sentinel-2
Tekirdağ,2022,11,0.2366,Sentinel-2
Tekirdağ,2022,12,0.4276,Sentinel-2
Tekirdağ,2023,1,0.3315,Sentinel-2
Tekirdağ,2023,2,0.4264,Sentinel-2
Tekirdağ,2023,3,,Sentinel-2
Tekirdağ,2023,4,,Sentinel-2
Tekirdağ,2023,5,0.5718,Sentinel-2
Tekirdağ,2023,6,0.4679,Sentinel-2
Tekirdağ,2023,7,0.3712,Sentinel-2
Tekirdağ,2023,8,0.2747,Sentinel-2
Tekirdağ,2023,9,0.2351,Sentinel-2
Tekirdağ,2023,10,0.2185,Sentinel-2
Tekirdağ,2023,11,0.417,Sentinel-2
Tekirdağ,2023,12,0.3581,Sentinel-2
Tekirdağ,2024,1,0.3846,Sentinel-2
Tekirdağ,2024,2,0.4257,Sentinel-2
Tekirdağ,2024,3,0.5142,Sentinel-2
Tekirdağ,2024,4,0.5447,Sentinel-2
Tekirdağ,2024,5,0.5523,Sentinel-2
Tekirdağ,2024,6,0.4171,Sentinel-2
Tekirdağ,2024,7,0.324,Sentinel-2
Tekirdağ,2024,8,0.2524,Sentinel-2
Tekirdağ,2024,9,0.2593,Sentinel-2
Tekirdağ,2024,10,0.2696,Sentinel-2
Tekirdağ,2024,11,0.2655,Sentinel-2
Tekirdağ,2024,12,0.2819,Sentinel-2
Edirne,2004,1,0.1067,Landsat7
Edirne,2004,2,0.1484,Landsat7
Edirne,2004,3,0.1664,Landsat7
Edirne,2004,4,0.2275,Landsat7
Edirne,2004,5,0.2297,Landsat7
Edirne,2004,6,0.2391,Landsat7
Edirne,2004,7,0.1746,Landsat7
Edirne,2004,8,0.1818,Landsat7
Edirne,2004,9,0.136,Landsat7
Edirne,2004,10,,Landsat7
Edirne,2004,11,0.0525,Landsat7
Edirne,2004,12,0.0521,Landsat7
Edirne,2005,1,0.094,Landsat7
Edirne,2005,2,,Landsat7
Edirne,2005,3,0.1314,Landsat7
Edirne,2005,4,0.1811,Landsat7
Edirne,2005,5,0.2485,Landsat7
Edirne,2005,6,0.2293,Landsat7
Edirne,2005,7,0.256,Landsat7
Edirne,2005,8,0.1734,Landsat7
Edirne,2005,9,0.1762,Landsat7
Edirne,2005,10,0.117,Landsat7
Edirne,2005,11,,Landsat7
Edirne,2005,12,-0.0295,Landsat7
Edirne,2006,1,,Landsat7
Edirne,2006,2,,Landsat7
Edirne,2006,3,0.1402,Landsat7
Edirne,2006,4,0.1931,Landsat7
Edirne,2006,5,0.2509,Landsat7
Edirne,2006,6,0.2319,Landsat7
Edirne,2006,7,0.2445,Landsat7
Edirne,2006,8,0.195,Landsat7
Edirne,2006,9,0.1726,Landsat7
Edirne,2006,10,0.035,Landsat7
Edirne,2006,11,0.114,Landsat7
Edirne,2006,12,,Landsat7
Edirne,2007,1,,Landsat7
Edirne,2007,2,0.1624,Landsat7
Edirne,2007,3,,Landsat7
Edirne,2007,4,0.2601,Landsat7
Edirne,2007,5,0.249,Landsat7
Edirne,2007,6,0.2199,Landsat7
Edirne,2007,7,0.2015,Landsat7
Edirne,2007,8,0.1509,Landsat7
Edirne,2007,9,,Landsat7
Edirne,2007,10,0.1123,Landsat7
Edirne,2007,11,0.0964,Landsat7
Edirne,2007,12,0.0709,Landsat7
Edirne,2008,1,,Landsat7
Edirne,2008,2,0.0333,Landsat7
Edirne,2008,3,0.1522,Landsat7
Edirne,2008,4,,Landsat7
Edirne,2008,5,0.278,Landsat7
Edirne,2008,6,0.2223,Landsat7
Edirne,2008,7,0.2033,Landsat7
Edirne,2008,8,0.166,Landsat7
Edirne,2008,9,0.1349,Landsat7
Edirne,2008,10,,Landsat7
Edirne,2008,11,0.085,Landsat7
Edirne,2008,12,,Landsat7
Edirne,2009,1,,Landsat7
Edirne,2009,2,,Landsat7
Edirne,2009,3,,Landsat7
Edirne,2009,4,0.2177,Landsat7
Edirne,2009,5,0.2601,Landsat7
Edirne,2009,6,0.2179,Landsat7
Edirne,2009,7,0.2049,Landsat7
Edirne,2009,8,0.1152,Landsat7
Edirne,2009,9,0.1482,Landsat7
Edirne,2009,10,0.1429,Landsat7
Edirne,2009,11,,Landsat7
Edirne,2009,12,,Landsat7
Edirne,2010,1,,Landsat7
Edirne,2010,2,,Landsat7
Edirne,2010,3,0.1746,Landsat7
Edirne,2010,4,0.2661,Landsat7
Edirne,2010,5,0.252,Landsat7
Edirne,2010,6,0.1821,Landsat7
Edirne,2010,7,0.174,Landsat7
Edirne,2010,8,0.2085,Landsat7
Edirne,2010,9,0.1135,Landsat7
Edirne,2010,10,,Landsat7
Edirne,2010,11,,Landsat7
Edirne,2010,12,0.0367,Landsat7
Edirne,2011,1,0.0545,Landsat7
Edirne,2011,2,0.1694,Landsat7
Edirne,2011,3,0.1921,Landsat7
Edirne,2011,4,0.228,Landsat7
Edirne,2011,5,0.2198,Landsat7
Edirne,2011,6,0.2378,Landsat7
Edirne,2011,7,0.2076,Landsat7
Edirne,2011,8,0.1627,Landsat7
Edirne,2011,9,0.1355,Landsat7
Edirne,2011,10,0.0866,Landsat7
Edirne,2011,11,0.09,Landsat7
Edirne,2011,12,,Landsat7
Edirne,2012,1,,Landsat7
Edirne,2012,2,0.0454,Landsat7
Edirne,2012,3,0.1138,Landsat7
Edirne,2012,4,0.1843,Landsat7
Edirne,2012,5,0.2654,Landsat7
Edirne,2012,6,0.2574,Landsat7
Edirne,2012,7,0.2016,Landsat7
Edirne,2012,8,0.1585,Landsat7
Edirne,2012,9,0.1576,Landsat7
Edirne,2012,10,0.0948,Landsat7
Edirne,2012,11,,Landsat7
Edirne,2012,12,,Landsat7
Edirne,2013,1,,Landsat7
Edirne,2013,2,,Landsat7
Edirne,2013,3,,Landsat7
Edirne,2013,4,0.3004,Landsat7
Edirne,2013,5,0.2361,Landsat7
Edirne,2013,6,0.194,Landsat7
Edirne,2013,7,0.2173,Landsat7
Edirne,2013,8,0.1868,Landsat7
Edirne,2013,9,0.1473,Landsat7
Edirne,2013,10,0.1061,Landsat7
Edirne,2013,11,0.0923,Landsat7
Edirne,2013,12,0.1283,Landsat7
Edirne,2014,1,,Landsat7
