year,month,precip_mm,drought_year,source
2016,5,41.8,False,CHIRPS v2.0 (simulated)
2016,6,16.5,False,CHIRPS v2.0 (simulated)
2016,7,9.5,False,CHIRPS v2.0 (simulated)
2016,8,7.9,False,CHIRPS v2.0 (simulated)
2016,9,12.0,False,CHIRPS v2.0 (simulated)
2016,10,29.2,False,CHIRPS v2.0 (simulated)
2016,11,23.6,False,CHIRPS v2.0 (simulated)
2016,12,27.5,False,CHIRPS v2.0 (simulated)
2017,1,19.6,False,CHIRPS v2.0 (simulated)
2017,2,29.4,False,CHIRPS v2.0 (simulated)
2017,3,51.5,False,CHIRPS v2.0 (simulated)
2017,4,49.3,False,CHIRPS v2.0 (simulated)
2017,5,29.9,False,CHIRPS v2.0 (simulated)
2017,6,9.0,False,CHIRPS v2.0 (simulated)
2017,7,11.2,False,CHIRPS v2.0 (simulated)
2017,8,3.4,False,CHIRPS v2.0 (simulated)
2017,9,10.9,False,CHIRPS v2.0 (simulated)
2017,10,22.3,False,CHIRPS v2.0 (simulated)
2017,11,34.5,False,CHIRPS v2.0 (simulated)
2017,12,50.9,False,CHIRPS v2.0 (simulated)
2018,1,27.1,True,CHIRPS v2.0 (simulated)
2018,2,12.6,True,CHIRPS v2.0 (simulated)
2018,3,39.6,True,CHIRPS v2.0 (simulated)
2018,4,45.2,True,CHIRPS v2.0 (simulated)
2018,5,22.1,True,CHIRPS v2.0 (simulated)
2018,6,7.3,True,CHIRPS v2.0 (simulated)
2018,7,5.4,True,CHIRPS v2.0 (simulated)
2018,8,7.9,True,CHIRPS v2.0 (simulated)
2018,9,6.3,True,CHIRPS v2.0 (simulated)
2018,10,22.1,True,CHIRPS v2.0 (simulated)
2018,11,42.4,True,CHIRPS v2.0 (simulated)
2018,12,32.7,True,CHIRPS v2.0 (simulated)
2019,1,47.8,False,CHIRPS v2.0 (simulated)
2019,2,38.0,False,CHIRPS v2.0 (simulated)
2019,3,50.4,False,CHIRPS v2.0 (simulated)
2019,4,35.9,False,CHIRPS v2.0 (simulated)
2019,5,28.8,False,CHIRPS v2.0 (simulated)
2019,6,13.0,False,CHIRPS v2.0 (simulated)
2019,7,7.7,False,CHIRPS v2.0 (simulated)
2019,8,6.5,False,CHIRPS v2.0 (simulated)
2019,9,6.5,False,CHIRPS v2.0 (simulated)
2019,10,32.8,False,CHIRPS v2.0 (simulated)
2019,11,25.1,False,CHIRPS v2.0 (simulated)
2019,12,17.2,False,CHIRPS v2.0 (simulated)
2020,1,5.1,False,CHIRPS v2.0 (simulated)
2020,2,34.4,False,CHIRPS v2.0 (simulated)
2020,3,27.1,False,CHIRPS v2.0 (simulated)
2020,4,4.9,False,CHIRPS v2.0 (simulated)
2020,5,24.2,False,CHIRPS v2.0 (simulated)
2020,6,14.7,False,CHIRPS v2.0 (simulated)
2020,7,9.5,False,CHIRPS v2.0 (simulated)
2020,8,4.5,False,CHIRPS v2.0 (simulated)
2020,9,18.8,False,CHIRPS v2.0 (simulated)
2020,10,35.3,False,CHIRPS v2.0 (simulated)
2020,11,32.3,False,CHIRPS v2.0 (simulated)
2020,12,50.6,False,CHIRPS v2.0 (simulated)
2021,1,24.6,False,CHIRPS v2.0 (simulated)
2021,2,19.8,False,CHIRPS v2.0 (simulated)
2021,3,48.7,False,CHIRPS v2.0 (simulated)
2021,4,37.4,False,CHIRPS v2.0 (simulated)
2021,5,37.8,False,CHIRPS v2.0 (simulated)
2021,6,16.9,False,CHIRPS v2.0 (simulated)
2021,7,4.3,False,CHIRPS v2.0 (simulated)
2021,8,2.5,False,CHIRPS v2.0 (simulated)
2021,9,4.8,False,CHIRPS v2.0 (simulated)
2021,10,23.9,False,CHIRPS v2.0 (simulated)
2021,11,47.4,False,CHIRPS v2.0 (simulated)
2021,12,50.4,False,CHIRPS v2.0 (simulated)
2022,1,40.7,False,CHIRPS v2.0 (simulated)
2022,2,33.0,False,CHIRPS v2.0 (simulated)
2022,3,41.0,False,CHIRPS v2.0 (simulated)
2022,4,38.6,False,CHIRPS v2.0 (simulated)
2022,5,22.4,False,CHIRPS v2.0 (simulated)
2022,6,20.3,False,CHIRPS v2.0 (simulated)
2022,7,10.4,False,CHIRPS v2.0 (simulated)
2022,8,7.4,False,CHIRPS v2.0 (simulated)
2022,9,11.6,False,CHIRPS v2.0 (simulated)
2022,10,25.4,False,CHIRPS v2.0 (simulated)
2022,11,25.3,False,CHIRPS v2.0 (simulated)
2022,12,34.6,False,CHIRPS v2.0 (simulated)
2023,1,21.4,False,CHIRPS v2.0 (simulated)
2023,2,18.5,False,CHIRPS v2.0 (simulated)
2023,3,23.1,False,CHIRPS v2.0 (simulated)
2023,4,72.7,False,CHIRPS v2.0 (simulated)
2023,5,25.1,False,CHIRPS v2.0 (simulated)
2023,6,13.9,False,CHIRPS v2.0 (simulated)
2023,7,10.4,False,CHIRPS v2.0 (simulated)
2023,8,6.6,False,CHIRPS v2.0 (simulated)
2023,9,11.3,False,CHIRPS v2.0 (simulated)
2023,10,31.8,False,CHIRPS v2.0 (simulated)
2023,11,54.9,False,CHIRPS v2.0 (simulated)
2023,12,34.4,False,CHIRPS v2.0 (simulated)
2024,1,27.2,False,CHIRPS v2.0 (simulated)
2024,2,50.3,False,CHIRPS v2.0 (simulated)
2024,3,51.6,False,CHIRPS v2.0 (simulated)
2024,4,51.6,False,CHIRPS v2.0 (simulated)
2024,5,12.0,False,CHIRPS v2.0 (simulated)
2024,6,27.8,False,CHIRPS v2.0 (simulated)
2024,7,8.2,False,CHIRPS v2.0 (simulated)
2024,8,8.4,False,CHIRPS v2.0 (simulated)
2024,9,8.2,False,CHIRPS v2.0 (simulated)
2024,10,14.3,False,CHIRPS v2.0 (simulated)
2024,11,37.8,False,CHIRPS v2.0 (simulated)
2024,12,22.5,False,CHIRPS v2.0 (simulated)
