date,year,month,ndvi,ndwi,lst_celsius,cloud_cover_pct,source
2015-03-15,2015,3,0.5905,0.2234,-2.08,32.4,Sentinel-2/Landsat8 (simulated)
2015-04-15,2015,4,0.7404,0.2533,17.3,5.2,Sentinel-2/Landsat8 (simulated)
2015-05-15,2015,5,0.796,0.27,31.0,29.0,Sentinel-2/Landsat8 (simulated)
2015-06-15,2015,6,0.8135,0.2811,32.23,12.5,Sentinel-2/Landsat8 (simulated)
2015-07-15,2015,7,0.7687,0.2473,27.8,23.8,Sentinel-2/Landsat8 (simulated)
2015-08-15,2015,8,0.6644,0.2141,18.97,11.0,Sentinel-2/Landsat8 (simulated)
2015-09-15,2015,9,0.5852,0.1862,-2.93,5.4,Sentinel-2/Landsat8 (simulated)
2015-10-15,2015,10,0.4577,0.135,1.64,5.7,Sentinel-2/Landsat8 (simulated)
2015-11-15,2015,11,0.364,0.0892,2.31,18.4,Sentinel-2/Landsat8 (simulated)
2015-12-15,2015,12,0.2803,0.0715,-3.04,21.5,Sentinel-2/Landsat8 (simulated)
2016-01-15,2016,1,0.3962,0.1129,7.3,30.2,Sentinel-2/Landsat8 (simulated)
2016-02-15,2016,2,0.4692,0.0839,-8.27,29.0,Sentinel-2/Landsat8 (simulated)
2016-03-15,2016,3,0.6582,0.1809,-1.16,30.4,Sentinel-2/Landsat8 (simulated)
2016-04-15,2016,4,0.7396,0.2516,16.85,15.7,Sentinel-2/Landsat8 (simulated)
2016-05-15,2016,5,0.788,0.3069,29.16,9.0,Sentinel-2/Landsat8 (simulated)
2016-06-15,2016,6,0.8205,0.2544,35.85,24.2,Sentinel-2/Landsat8 (simulated)
2016-07-15,2016,7,0.7496,0.2342,33.48,7.4,Sentinel-2/Landsat8 (simulated)
2016-08-15,2016,8,0.6877,0.2128,15.25,19.7,Sentinel-2/Landsat8 (simulated)
2016-09-15,2016,9,0.553,0.1556,1.92,25.4,Sentinel-2/Landsat8 (simulated)
2016-10-15,2016,10,0.4383,0.1757,4.95,13.6,Sentinel-2/Landsat8 (simulated)
2016-11-15,2016,11,0.3668,0.1367,-2.69,13.2,Sentinel-2/Landsat8 (simulated)
2016-12-15,2016,12,0.3866,0.0576,2.51,18.3,Sentinel-2/Landsat8 (simulated)
2017-01-15,2017,1,0.4203,0.0574,0.44,20.9,Sentinel-2/Landsat8 (simulated)
2017-02-15,2017,2,0.4785,0.1173,4.31,24.2,Sentinel-2/Landsat8 (simulated)
2017-03-15,2017,3,0.6254,0.2306,0.8,8.5,Sentinel-2/Landsat8 (simulated)
2017-04-15,2017,4,0.7656,0.209,18.23,12.9,Sentinel-2/Landsat8 (simulated)
2017-05-15,2017,5,0.8602,0.2534,28.5,19.3,Sentinel-2/Landsat8 (simulated)
2017-06-15,2017,6,0.9243,0.2418,36.8,11.1,Sentinel-2/Landsat8 (simulated)
2017-07-15,2017,7,0.8727,0.2922,30.98,30.3,Sentinel-2/Landsat8 (simulated)
2017-08-15,2017,8,0.7535,0.2204,19.22,24.6,Sentinel-2/Landsat8 (simulated)
2017-09-15,2017,9,0.6093,0.1624,1.68,27.6,Sentinel-2/Landsat8 (simulated)
2017-10-15,2017,10,0.5552,0.1415,2.93,24.8,Sentinel-2/Landsat8 (simulated)
2017-11-15,2017,11,0.3783,0.1311,-2.84,25.3,Sentinel-2/Landsat8 (simulated)
2017-12-15,2017,12,0.4125,0.0457,5.02,29.8,Sentinel-2/Landsat8 (simulated)
2018-01-15,2018,1,0.3198,0.0735,7.87,9.1,Sentinel-2/Landsat8 (simulated)
2018-02-15,2018,2,0.502,0.1225,1.94,5.6,Sentinel-2/Landsat8 (simulated)
2018-03-15,2018,3,0.5208,0.1583,-0.92,10.2,Sentinel-2/Landsat8 (simulated)
2018-04-15,2018,4,0.6724,0.1932,20.24,26.0,Sentinel-2/Landsat8 (simulated)
2018-05-15,2018,5,0.7823,0.2408,27.23,26.5,Sentinel-2/Landsat8 (simulated)
2018-06-15,2018,6,0.7253,0.2795,32.36,18.1,Sentinel-2/Landsat8 (simulated)
2018-07-15,2018,7,0.837,0.2448,29.87,13.7,Sentinel-2/Landsat8 (simulated)
2018-08-15,2018,8,0.7098,0.1665,17.03,8.3,Sentinel-2/Landsat8 (simulated)
2018-09-15,2018,9,0.6014,0.1446,0.69,34.1,Sentinel-2/Landsat8 (simulated)
2018-10-15,2018,10,0.4342,0.1219,-1.87,24.8,Sentinel-2/Landsat8 (simulated)
2018-11-15,2018,11,0.3307,0.0729,8.27,14.8,Sentinel-2/Landsat8 (simulated)
2018-12-15,2018,12,0.3806,0.1007,-3.96,30.6,Sentinel-2/Landsat8 (simulated)
2019-01-15,2019,1,0.3501,0.1348,-2.55,20.4,Sentinel-2/Landsat8 (simulated)
2019-02-15,2019,2,0.3821,0.1317,5.28,32.2,Sentinel-2/Landsat8 (simulated)
2019-03-15,2019,3,0.5698,0.1782,1.11,5.2,Sentinel-2/Landsat8 (simulated)
2019-04-15,2019,4,0.7689,0.179,17.22,16.4,Sentinel-2/Landsat8 (simulated)
2019-05-15,2019,5,0.7681,0.2181,27.32,13.5,Sentinel-2/Landsat8 (simulated)
2019-06-15,2019,6,0.8658,0.2854,36.75,26.1,Sentinel-2/Landsat8 (simulated)
2019-07-15,2019,7,0.8277,0.2644,35.13,26.7,Sentinel-2/Landsat8 (simulated)
2019-08-15,2019,8,0.6737,0.1727,16.22,28.0,Sentinel-2/Landsat8 (simulated)
2019-09-15,2019,9,0.4994,0.1879,2.45,34.5,Sentinel-2/Landsat8 (simulated)
2019-10-15,2019,10,0.4659,0.1463,-2.16,28.5,Sentinel-2/Landsat8 (simulated)
2019-11-15,2019,11,0.4142,0.0636,-1.76,18.5,Sentinel-2/Landsat8 (simulated)
2019-12-15,2019,12,0.3281,0.1018,2.53,15.7,Sentinel-2/Landsat8 (simulated)
2020-01-15,2020,1,0.4154,0.0852,-0.16,6.2,Sentinel-2/Landsat8 (simulated)
2020-02-15,2020,2,0.5043,0.1531,0.84,7.3,Sentinel-2/Landsat8 (simulated)
2020-03-15,2020,3,0.6147,0.1572,-3.64,21.5,Sentinel-2/Landsat8 (simulated)
2020-04-15,2020,4,0.7706,0.2749,15.88,21.3,Sentinel-2/Landsat8 (simulated)
2020-05-15,2020,5,0.8183,0.2199,25.05,33.9,Sentinel-2/Landsat8 (simulated)
2020-06-15,2020,6,0.8304,0.2628,38.5,14.1,Sentinel-2/Landsat8 (simulated)
2020-07-15,2020,7,0.8565,0.2698,32.09,9.4,Sentinel-2/Landsat8 (simulated)
2020-08-15,2020,8,0.7897,0.2444,17.01,10.3,Sentinel-2/Landsat8 (simulated)
2020-09-15,2020,9,0.6462,0.13,0.71,23.2,Sentinel-2/Landsat8 (simulated)
2020-10-15,2020,10,0.5284,0.1575,-2.38,34.7,Sentinel-2/Landsat8 (simulated)
2020-11-15,2020,11,0.4194,0.0934,-0.55,19.6,Sentinel-2/Landsat8 (simulated)
2020-12-15,2020,12,0.3736,0.0457,2.36,22.1,Sentinel-2/Landsat8 (simulated)
2021-01-15,2021,1,0.3141,0.1032,1.92,25.0,Sentinel-2/Landsat8 (simulated)
2021-02-15,2021,2,0.4378,0.1427,3.11,5.4,Sentinel-2/Landsat8 (simulated)
2021-03-15,2021,3,0.6021,0.155,1.92,22.8,Sentinel-2/Landsat8 (simulated)
2021-04-15,2021,4,0.6895,0.2356,12.67,31.8,Sentinel-2/Landsat8 (simulated)
2021-05-15,2021,5,0.7633,0.3087,32.29,7.3,Sentinel-2/Landsat8 (simulated)
2021-06-15,2021,6,0.7864,0.3308,36.94,18.6,Sentinel-2/Landsat8 (simulated)
2021-07-15,2021,7,0.8233,0.2444,29.54,5.2,Sentinel-2/Landsat8 (simulated)
2021-08-15,2021,8,0.7356,0.2316,16.58,23.2,Sentinel-2/Landsat8 (simulated)
2021-09-15,2021,9,0.5224,0.1604,-4.53,11.5,Sentinel-2/Landsat8 (simulated)
2021-10-15,2021,10,0.4845,0.1437,7.6,21.9,Sentinel-2/Landsat8 (simulated)
2021-11-15,2021,11,0.3615,0.0502,3.4,13.6,Sentinel-2/Landsat8 (simulated)
2021-12-15,2021,12,0.3542,0.0386,2.33,22.2,Sentinel-2/Landsat8 (simulated)
2022-01-15,2022,1,0.3701,0.0642,0.37,19.7,Sentinel-2/Landsat8 (simulated)
2022-02-15,2022,2,0.438,0.155,2.77,20.3,Sentinel-2/Landsat8 (simulated)
2022-03-15,2022,3,0.5803,0.2064,-0.03,9.4,Sentinel-2/Landsat8 (simulated)
2022-04-15,2022,4,0.6834,0.299,17.49,28.8,Sentinel-2/Landsat8 (simulated)
2022-05-15,2022,5,0.842,0.2629,29.88,31.4,Sentinel-2/Landsat8 (simulated)
2022-06-15,2022,6,0.9289,0.2503,34.91,31.6,Sentinel-2/Landsat8 (simulated)
2022-07-15,2022,7,0.8484,0.2756,28.05,15.7,Sentinel-2/Landsat8 (simulated)
2022-08-15,2022,8,0.7193,0.2315,15.06,19.5,Sentinel-2/Landsat8 (simulated)
2022-09-15,2022,9,0.6014,0.2111,-1.4,17.1,Sentinel-2/Landsat8 (simulated)
2022-10-15,2022,10,0.4781,0.1275,-1.68,25.1,Sentinel-2/Landsat8 (simulated)
2022-11-15,2022,11,0.374,0.1174,1.17,27.8,Sentinel-2/Landsat8 (simulated)
2022-12-15,2022,12,0.3337,0.039,2.21,18.1,Sentinel-2/Landsat8 (simulated)
2023-01-15,2023,1,0.4588,0.1121,6.29,15.9,Sentinel-2/Landsat8 (simulated)
2023-02-15,2023,2,0.5055,0.092,-0.72,32.5,Sentinel-2/Landsat8 (simulated)
2023-03-15,2023,3,0.631,0.1643,-2.75,9.1,Sentinel-2/Landsat8 (simulated)
2023-04-15,2023,4,0.7292,0.2355,17.33,9.5,Sentinel-2/Landsat8 (simulated)
2023-05-15,2023,5,0.8603,0.2918,27.97,22.0,Sentinel-2/Landsat8 (simulated)
2023-06-15,2023,6,0.8269,0.2987,37.4,11.7,Sentinel-2/Landsat8 (simulated)
2023-07-15,2023,7,0.8071,0.2302,24.28,16.5,Sentinel-2/Landsat8 (simulated)
2023-08-15,2023,8,0.7526,0.2187,12.55,20.9,Sentinel-2/Landsat8 (simulated)
2023-09-15,2023,9,0.5505,0.1736,6.23,33.2,Sentinel-2/Landsat8 (simulated)
2023-10-15,2023,10,0.4385,0.105,5.51,18.0,Sentinel-2/Landsat8 (simulated)
2023-11-15,2023,11,0.3738,0.1071,1.27,11.7,Sentinel-2/Landsat8 (simulated)
2023-12-15,2023,12,0.3165,0.0821,3.28,8.1,Sentinel-2/Landsat8 (simulated)
2024-01-15,2024,1,0.3425,0.0672,5.45,34.0,Sentinel-2/Landsat8 (simulated)
2024-02-15,2024,2,0.4215,0.1413,-0.09,13.3,Sentinel-2/Landsat8 (simulated)
2024-03-15,2024,3,0.5161,0.1782,-0.82,28.2,Sentinel-2/Landsat8 (simulated)
2024-04-15,2024,4,0.7273,0.159,16.1,15.8,Sentinel-2/Landsat8 (simulated)
2024-05-15,2024,5,0.7942,0.286,30.43,24.6,Sentinel-2/Landsat8 (simulated)
2024-06-15,2024,6,0.8417,0.2836,34.67,30.2,Sentinel-2/Landsat8 (simulated)
2024-07-15,2024,7,0.8259,0.2494,31.54,24.4,Sentinel-2/Landsat8 (simulated)
2024-08-15,2024,8,0.6752,0.2283,15.32,26.7,Sentinel-2/Landsat8 (simulated)
2024-09-15,2024,9,0.5502,0.2432,-0.61,10.9,Sentinel-2/Landsat8 (simulated)
2024-10-15,2024,10,0.4496,0.122,2.95,5.8,Sentinel-2/Landsat8 (simulated)
2024-11-15,2024,11,0.3185,0.0678,-0.91,28.1,Sentinel-2/Landsat8 (simulated)
2024-12-15,2024,12,0.3413,0.012,-0.41,11.9,Sentinel-2/Landsat8 (simulated)
